rank,plan,district_id,polsby_popper,pp_rank,reock,reock_rank,avg_rank
213,NY-2024 (w 2020 Pres),11,0.5749,236,0.4492,178,207.0
214,MO-2026,2,0.4002,201,0.5388,217,209.0
215,NY-2024 (w 2020 Pres),12,0.4069,204,0.5247,215,209.5
216,OH-2026,11,0.3947,199,0.5519,220,209.5
217,NY-2024 (w 2020 Pres),21,0.3439,182,0.6311,237,209.5
218,NY-2024 (w 2020 Pres),9,0.3873,198,0.5621,223,210.5
219,TX-2026,19,0.5326,230,0.4643,191,210.5
220,CA-2026,12,0.4819,221,0.4908,201,211.0
221,FL-2026,14,0.4373,215,0.5034,208,211.5
222,AL-2026,2,0.3729,194,0.5869,232,213.0
223,FL-2026,23,0.4602,219,0.518,213,216.0
224,FL-2026,21,0.5091,226,0.4975,206,216.0
225,FL-2026,1,0.4828,222,0.5103,212,217.0
226,NY-2024 (w 2020 Pres),16,0.4372,214,0.557,221,217.5
227,FL-2026,26,0.5478,232,0.5066,209,220.5
228,FL-2026,13,0.5507,233,0.5068,210,221.5
229,FL-2026,18,0.4174,209,0.6155,236,222.5
230,MO-2026,1,0.4618,220,0.5715,227,223.5
231,OH-2026,14,0.5742,235,0.5609,222,228.5
232,OH-2026,3,0.5053,225,0.5967,233,229.0
233,UT-2026,4,0.5648,234,0.5624,224,229.0
234,FL-2026,5,0.5266,228,0.5822,231,229.5
235,FL-2026,3,0.5117,227,0.6085,235,231.0
236,FL-2026,6,0.4902,224,0.7271,239,231.5
237,NY-2024 (w 2020 Pres),25,0.6138,237,0.5764,230,233.5
238,NY-2024 (w 2020 Pres),4,0.6143,238,0.6084,234,236.0
239,FL-2026,27,0.6948,239,0.6722,238,238.5
