plan,district_id,district_name,polsby_popper,reock
CA-2022,15,15,0.3735,0.2614
CA-2022,16,16,0.1837,0.3311
CA-2022,17,17,0.2543,0.4911
CA-2022,18,18,0.1751,0.2761
CA-2022,19,19,0.1018,0.149
CA-2022,20,20,0.0985,0.355
CA-2022,21,21,0.1968,0.2444
CA-2022,22,22,0.3125,0.4881
CA-2022,23,23,0.4365,0.5164
CA-2022,24,24,0.1543,0.2535
CA-2022,25,25,0.164,0.4225
CA-2022,26,26,0.2943,0.4605
CA-2022,27,27,0.3748,0.4488
CA-2022,28,28,0.1353,0.365
CA-2022,29,29,0.1817,0.3782
CA-2022,30,30,0.1512,0.3487
CA-2022,31,31,0.108,0.368
CA-2022,32,32,0.2236,0.3363
CA-2022,33,33,0.1926,0.2277
CA-2022,34,34,0.2107,0.3717
CA-2022,35,35,0.2522,0.3026
CA-2022,36,36,0.2005,0.3136
CA-2022,37,37,0.2996,0.44
CA-2022,38,38,0.1426,0.3372
CA-2022,39,39,0.2023,0.3912
CA-2022,40,40,0.1495,0.4268
CA-2022,41,41,0.0616,0.2039
CA-2022,42,42,0.1401,0.1262
CA-2022,43,43,0.1992,0.3141
CA-2022,44,44,0.1639,0.3167
CA-2022,45,45,0.0808,0.362
CA-2022,46,46,0.1667,0.4904
CA-2022,47,47,0.2236,0.363
CA-2022,48,48,0.2087,0.4146
CA-2022,49,49,0.272,0.3545
CA-2022,50,50,0.1169,0.2501
CA-2022,51,51,0.1211,0.5105
CA-2022,52,52,0.2597,0.3697
CA-2026,1,1,0.1999,0.3752
CA-2026,2,2,0.2086,0.3268
CA-2026,3,3,0.2397,0.4045
CA-2026,4,4,0.1701,0.3597
CA-2026,5,5,0.2652,0.2268
CA-2026,6,6,0.1208,0.2816
CA-2026,7,7,0.1567,0.3967
CA-2026,8,8,0.2328,0.3471
CA-2026,9,9,0.0878,0.2419
CA-2026,10,10,0.261,0.398
CA-2026,11,11,0.2683,0.0961
CA-2026,12,12,0.4819,0.4908
CA-2026,13,13,0.2104,0.4197
CA-2026,14,14,0.4029,0.3318
CA-2026,15,15,0.3751,0.2614
CA-2026,16,16,0.1824,0.3311
CA-2026,17,17,0.2572,0.4957
CA-2026,18,18,0.2045,0.2754
CA-2026,19,19,0.1018,0.149
CA-2026,20,20,0.1026,0.4212
CA-2026,21,21,0.1631,0.2544
CA-2026,22,22,0.1319,0.2785
CA-2026,23,23,0.2673,0.4192
CA-2026,24,24,0.1514,0.2522
CA-2026,25,25,0.1718,0.3352
CA-2026,26,26,0.1643,0.4206
CA-2026,27,27,0.1481,0.3303
CA-2026,28,28,0.1896,0.3905
CA-2026,29,29,0.2953,0.4379
CA-2026,30,30,0.1642,0.3802
CA-2026,31,31,0.1448,0.3046
CA-2026,32,32,0.1669,0.3744
CA-2026,33,33,0.1198,0.2286
CA-2026,34,34,0.2107,0.3717
CA-2026,35,35,0.1466,0.3847
CA-2026,36,36,0.2005,0.3136
CA-2026,37,37,0.2996,0.44
CA-2026,38,38,0.0794,0.1901
CA-2026,39,39,0.1482,0.3663
CA-2026,40,40,0.1985,0.3904
CA-2026,41,41,0.1067,0.3102
CA-2026,42,42,0.1536,0.1894
CA-2026,43,43,0.1992,0.3141
CA-2026,44,44,0.1379,0.2536
CA-2026,45,45,0.0993,0.3887
CA-2026,46,46,0.1216,0.4329
CA-2026,47,47,0.2378,0.4571
CA-2026,48,48,0.0993,0.3999
CA-2026,49,49,0.1915,0.3467
CA-2026,50,50,0.1062,0.2723
CA-2026,51,51,0.1646,0.2992
CA-2026,52,52,0.257,0.1925
CO-2022,1,1,0.0903,0.1623
CO-2022,2,2,0.3298,0.5913
CO-2022,3,3,0.305,0.3328
CO-2022,4,4,0.2925,0.4579
CO-2022,5,5,0.5591,0.5369
CO-2022,6,6,0.0985,0.2164
CO-2022,7,7,0.2486,0.4663
CO-2022,8,8,0.2089,0.4404
CT-2022-(w 2020 Pres),1,1,0.1695,0.434
CT-2022-(w 2020 Pres),2,2,0.4237,0.5715
CT-2022-(w 2020 Pres),3,3,0.2467,0.3379
CT-2022-(w 2020 Pres),4,4,0.3361,0.3307
CT-2022-(w 2020 Pres),5,5,0.2315,0.5059
DE-2022,1,1,0.461,0.3673
FL-2022,1,1,0.4828,0.5103
FL-2022,2,2,0.4847,0.4222
FL-2022,3,3,0.5107,0.6085
FL-2022,4,4,0.3246,0.4123
FL-2022,5,5,0.5266,0.5822
FL-2022,6,6,0.4896,0.7271
FL-2022,7,7,0.4091,0.4555
FL-2022,8,8,0.4518,0.3475
FL-2022,9,9,0.4769,0.4942
FL-2022,10,10,0.3754,0.3774
FL-2022,11,11,0.362,0.5262
FL-2022,12,12,0.3862,0.4289
FL-2022,13,13,0.5873,0.5494
FL-2022,14,14,0.4782,0.5361
FL-2022,15,15,0.5818,0.5305
FL-2022,16,16,0.4489,0.4314
FL-2022,17,17,0.3938,0.2729
FL-2022,18,18,0.4258,0.455
FL-2022,19,19,0.3858,0.3408
FL-2022,20,20,0.2774,0.5064
FL-2022,21,21,0.4956,0.5037
FL-2022,22,22,0.4212,0.4574
FL-2022,23,23,0.2888,0.5099
FL-2022,24,24,0.4855,0.4986
FL-2022,25,25,0.3828,0.3986
FL-2022,26,26,0.3269,0.2708
FL-2022,27,27,0.7303,0.7188
FL-2022,28,28,0.2414,0.2017
FL-2026,1,1,0.4828,0.5103
FL-2026,2,2,0.4847,0.4222
FL-2026,3,3,0.5117,0.6085
FL-2026,4,4,0.3246,0.4123
FL-2026,5,5,0.5266,0.5822
FL-2026,6,6,0.4902,0.7271
FL-2026,7,7,0.4091,0.4555
FL-2026,8,8,0.4418,0.4471
FL-2026,9,9,0.3647,0.497
FL-2026,10,10,0.3695,0.4461
FL-2026,11,11,0.3357,0.3955
FL-2026,12,12,0.4088,0.3902
FL-2026,13,13,0.5507,0.5068
FL-2026,14,14,0.4373,0.5034
FL-2026,15,15,0.2599,0.3224
FL-2026,16,16,0.3738,0.3718
FL-2026,17,17,0.3211,0.2562
FL-2026,18,18,0.4174,0.6155
FL-2026,19,19,0.3844,0.4532
FL-2026,20,20,0.4153,0.4894
FL-2026,21,21,0.5091,0.4975
FL-2026,22,22,0.4037,0.4566
FL-2026,23,23,0.4602,0.518
FL-2026,24,24,0.321,0.415
FL-2026,25,25,0.1614,0.1846
FL-2026,26,26,0.5478,0.5066
FL-2026,27,27,0.6948,0.6722
FL-2026,28,28,0.2417,0.2017
GA-2022,1,1,0.2926,0.5076
GA-2022,2,2,0.2698,0.5012
GA-2022,3,3,0.2769,0.4752
GA-2022,4,4,0.2519,0.3036
GA-2022,5,5,0.3284,0.6088
GA-2022,6,6,0.2018,0.4688
GA-2022,7,7,0.3951,0.419
GA-2022,8,8,0.2129,0.3684
GA-2022,9,9,0.2555,0.3346
GA-2022,10,10,0.2902,0.5128
GA-2022,11,11,0.209,0.4855
GA-2022,12,12,0.2831,0.5665
GA-2022,13,13,0.159,0.3382
GA-2022,14,14,0.374,0.4499
GA-2024,1,1,0.2926,0.5076
GA-2024,2,2,0.2698,0.5012
GA-2024,3,3,0.2769,0.4752
GA-2024,4,4,0.2035,0.4495
GA-2024,5,5,0.2549,0.4539
GA-2024,6,6,0.2563,0.3946
GA-2024,7,7,0.2389,0.3705
GA-2024,8,8,0.2129,0.3684
GA-2024,9,9,0.1785,0.4213
GA-2024,10,10,0.2371,0.5244
GA-2024,11,11,0.2909,0.5336
GA-2024,12,12,0.2831,0.5665
GA-2024,13,13,0.1341,0.2966
GA-2024,14,14,0.2936,0.4335
HI-2022,1,1,0.4438,0.4009
HI-2022,2,2,0.0649,0.0048
IA-2022,1,1,0.2853,0.2797
IA-2022,2,2,0.4195,0.4551
IA-2022,3,3,0.3523,0.3616
IA-2022,4,4,0.278,0.4435
ID-2022,1,1,0.1865,0.2871
ID-2022,2,2,0.3215,0.5087
IL-2022,1,1,0.1302,0.2664
IL-2022,2,2,0.2763,0.4153
IL-2022,3,3,0.08,0.1544
IL-2022,4,4,0.1192,0.3298
IL-2022,5,5,0.0705,0.1256
IL-2022,6,6,0.161,0.3807
IL-2022,7,7,0.1231,0.2329
IL-2022,8,8,0.1083,0.2443
IL-2022,9,9,0.1028,0.1036
IL-2022,10,10,0.2591,0.2496
IL-2022,11,11,0.1468,0.2554
IL-2022,12,12,0.2638,0.4805
IL-2022,13,13,0.1057,0.1109
IL-2022,14,14,0.2778,0.3531
IL-2022,15,15,0.127,0.3579
IL-2022,16,16,0.0987,0.3315
IL-2022,17,17,0.081,0.2436
IN-2022,1,1,0.5916,0.4649
IN-2022,2,2,0.5289,0.6304
IN-2022,3,3,0.5289,0.4906
IN-2022,4,4,0.4097,0.435
IN-2022,5,5,0.5589,0.4914
IN-2022,6,6,0.4212,0.4117
IN-2022,7,7,0.7137,0.5083
IN-2022,8,8,0.2135,0.4186
IN-2022,9,9,0.3471,0.4708
KS-2022,1,1,0.3508,0.3213
KS-2022,2,2,0.1523,0.4453
KS-2022,3,3,0.4512,0.4062
KS-2022,4,4,0.4478,0.3444
KY-2022,1,1,0.0946,0.1513
KY-2022,2,2,0.23,0.4934
KY-2022,3,3,0.4353,0.3643
KY-2022,4,4,0.1545,0.1908
KY-2022,5,5,0.2867,0.398
KY-2022,6,6,0.2612,0.4398
LA-2022,1,1,0.1633,0.4661
LA-2022,2,2,0.0596,0.1558
LA-2022,3,3,0.2938,0.3281
LA-2022,4,4,0.1599,0.3461
LA-2022,5,5,0.1272,0.3608
LA-2022,6,6,0.0755,0.4558
LA-2024,1,1,0.1575,0.4914
LA-2024,2,2,0.1114,0.2046
LA-2024,3,3,0.1893,0.2523
LA-2024,4,4,0.0836,0.4095
LA-2024,5,5,0.0831,0.3261
LA-2024,6,6,0.0537,0.1196
LA-2026,1,1,0.1627,0.4735
LA-2026,2,2,0.0683,0.1442
LA-2026,3,3,0.2465,0.284
LA-2026,4,4,0.1713,0.3609
LA-2026,5,5,0.1246,0.3629
LA-2026,6,6,0.0823,0.3286
MA-2022,1,1,0.282,0.2826
MA-2022,2,2,0.2143,0.2624
MA-2022,3,3,0.2253,0.221
MA-2022,4,4,0.178,0.4225
MA-2022,5,5,0.1846,0.2523
MA-2022,6,6,0.3962,0.4541
MA-2022,7,7,0.095,0.272
MA-2022,8,8,0.1303,0.3288
MA-2022,9,9,0.2649,0.568
MD-2022,1,1,0.3576,0.3636
MD-2022,2,2,0.1965,0.2477
MD-2022,3,3,0.2705,0.26
MD-2022,4,4,0.2351,0.3563
MD-2022,5,5,0.3369,0.406
MD-2022,6,6,0.1213,0.1463
MD-2022,7,7,0.2892,0.2371
MD-2022,8,8,0.3214,0.5976
ME-2022-(w 2020 Pres),1,1,0.165,0.2848
ME-2022-(w 2020 Pres),2,2,0.2859,0.5356
MI-2022-(w 2020 Pres),1,1,0.3967,0.3043
MI-2022-(w 2020 Pres),2,2,0.4057,0.4967
MI-2022-(w 2020 Pres),3,3,0.3035,0.2393
MI-2022-(w 2020 Pres),4,4,0.4085,0.3318
MI-2022-(w 2020 Pres),5,5,0.2662,0.139
MI-2022-(w 2020 Pres),6,6,0.3955,0.3255
MI-2022-(w 2020 Pres),7,7,0.5595,0.4327
MI-2022-(w 2020 Pres),8,8,0.4319,0.4959
MI-2022-(w 2020 Pres),9,9,0.5302,0.5723
MI-2022-(w 2020 Pres),10,10,0.4776,0.3889
MI-2022-(w 2020 Pres),11,11,0.4137,0.4186
MI-2022-(w 2020 Pres),12,12,0.4861,0.6012
MI-2022-(w 2020 Pres),13,13,0.2858,0.1739
MN-2022,1,1,0.2893,0.1682
MN-2022,2,2,0.375,0.348
MN-2022,3,3,0.2959,0.5185
MN-2022,4,4,0.5479,0.4536
MN-2022,5,5,0.4313,0.6003
MN-2022,6,6,0.227,0.4114
MN-2022,7,7,0.18,0.3845
MN-2022,8,8,0.2644,0.33
MO-2022,1,1,0.3113,0.5753
MO-2022,2,2,0.2967,0.4144
MO-2022,3,3,0.158,0.3022
MO-2022,4,4,0.3044,0.5093
MO-2022,5,5,0.3822,0.4229
MO-2022,6,6,0.3022,0.2483
MO-2022,7,7,0.5288,0.4551
MO-2022,8,8,0.2687,0.4278
MO-2026,1,1,0.4618,0.5715
MO-2026,2,2,0.4002,0.5388
MO-2026,3,3,0.3712,0.3607
MO-2026,4,4,0.3329,0.3939
MO-2026,5,5,0.2043,0.2937
MO-2026,6,6,0.3577,0.2832
MO-2026,7,7,0.5288,0.4551
MO-2026,8,8,0.2687,0.4278
MS-2022,1,1,0.3818,0.4701
MS-2022,2,2,0.1287,0.3472
MS-2022,3,3,0.2462,0.3653
MS-2022,4,4,0.4681,0.6102
MT-2022,1,1,0.206,0.3522
MT-2022,2,2,0.5203,0.4519
NC-2018,1,1,0.1961,0.2863
NC-2018,2,2,0.1553,0.291
NC-2018,3,3,0.3615,0.5006
NC-2018,4,4,0.1819,0.2884
NC-2018,5,5,0.3279,0.3002
NC-2018,6,6,0.3131,0.4927
NC-2018,7,7,0.3214,0.5457
NC-2018,8,8,0.2147,0.2064
NC-2018,9,9,0.1939,0.195
NC-2018,10,10,0.2603,0.2908
NC-2018,11,11,0.2095,0.2208
NC-2018,12,12,0.269,0.5018
NC-2018,13,13,0.2249,0.2941
NC-2022,1,1,0.4056,0.3809
NC-2022,2,2,0.3316,0.3445
NC-2022,3,3,0.2056,0.3402
NC-2022,4,4,0.4749,0.4154
NC-2022,5,5,0.229,0.2559
NC-2022,6,6,0.4246,0.4311
NC-2022,7,7,0.3755,0.4589
NC-2022,8,8,0.3324,0.5386
NC-2022,9,9,0.3164,0.5222
NC-2022,10,10,0.3467,0.417
NC-2022,11,11,0.3194,0.3081
NC-2022,12,12,0.378,0.6112
NC-2022,13,13,0.304,0.4585
NC-2022,14,14,0.246,0.3714
NC-2024,1,1,0.2769,0.3636
NC-2024,2,2,0.2813,0.3999
NC-2024,3,3,0.2555,0.3097
NC-2024,4,4,0.2558,0.4942
NC-2024,5,5,0.2343,0.2413
NC-2024,6,6,0.2943,0.4106
NC-2024,7,7,0.2914,0.541
NC-2024,8,8,0.288,0.3207
NC-2024,9,9,0.1725,0.4422
NC-2024,10,10,0.2772,0.2599
NC-2024,11,11,0.2785,0.2648
NC-2024,12,12,0.2877,0.5749
NC-2024,13,13,0.1444,0.3818
NC-2024,14,14,0.1707,0.296
NC-2026,1,1,0.3416,0.4269
NC-2026,2,2,0.2813,0.3999
NC-2026,3,3,0.273,0.574
NC-2026,4,4,0.2558,0.4942
NC-2026,5,5,0.2343,0.2413
NC-2026,6,6,0.2943,0.4106
NC-2026,7,7,0.2914,0.541
NC-2026,8,8,0.288,0.3207
NC-2026,9,9,0.1725,0.4422
NC-2026,10,10,0.2772,0.2599
NC-2026,11,11,0.2785,0.2648
NC-2026,12,12,0.2877,0.5749
NC-2026,13,13,0.1444,0.3818
NC-2026,14,14,0.1707,0.296
ND-2022,1,1,0.5203,0.4278
NE-2022,1,1,0.2563,0.3789
NE-2022,2,2,0.4212,0.3829
NE-2022,3,3,0.3137,0.2935
NH-2022,1,1,0.1593,0.336
NH-2022,2,2,0.1645,0.303
NJ-2022(w 2020 Pres),1,1,0.396,0.4609
NJ-2022(w 2020 Pres),2,2,0.2549,0.3333
NJ-2022(w 2020 Pres),3,3,0.2422,0.3502
NJ-2022(w 2020 Pres),4,4,0.2776,0.504
NJ-2022(w 2020 Pres),5,5,0.2485,0.24
NJ-2022(w 2020 Pres),6,6,0.1538,0.2611
NJ-2022(w 2020 Pres),7,7,0.2062,0.4609
NJ-2022(w 2020 Pres),8,8,0.1092,0.2659
NJ-2022(w 2020 Pres),9,9,0.1656,0.2791
NJ-2022(w 2020 Pres),10,10,0.1174,0.3173
NJ-2022(w 2020 Pres),11,11,0.2157,0.5188
NJ-2022(w 2020 Pres),12,12,0.1792,0.3343
NM-2022,1,1,0.3018,0.4359
NM-2022,2,2,0.3017,0.3563
NM-2022,3,3,0.2678,0.3207
NV-2022,1,1,0.4303,0.5678
NV-2022,2,2,0.5824,0.4977
NV-2022,3,3,0.2534,0.2456
NV-2022,4,4,0.5036,0.4083
NY-2022,1,1,0.3782,0.2182
NY-2022,2,2,0.4349,0.2634
NY-2022,3,3,0.3788,0.4127
NY-2022,4,4,0.6143,0.6084
NY-2022,5,5,0.2882,0.2776
NY-2022,6,6,0.2322,0.2786
NY-2022,7,7,0.2398,0.3876
NY-2022,8,8,0.2702,0.3323
NY-2022,9,9,0.4002,0.5605
NY-2022,10,10,0.3562,0.5698
NY-2022,11,11,0.5749,0.4492
NY-2022,12,12,0.4069,0.5247
NY-2022,13,13,0.2705,0.3616
NY-2022,14,14,0.3248,0.346
NY-2022,15,15,0.2356,0.4243
NY-2022,16,16,0.5041,0.5559
NY-2022,17,17,0.3897,0.4385
NY-2022,18,18,0.3066,0.3682
NY-2022,19,19,0.2649,0.2579
NY-2022,20,20,0.3808,0.4694
NY-2022,21,21,0.2594,0.5814
NY-2022,22,22,0.4255,0.425
NY-2022,23,23,0.3322,0.241
NY-2022,24,24,0.1811,0.2522
NY-2022,25,25,0.5449,0.467
NY-2022,26,26,0.4643,0.5582
NY-2024,1,1,0.4324,0.2304
NY-2024,2,2,0.5419,0.3409
NY-2024,3,3,0.4406,0.4573
NY-2024,4,4,0.6143,0.6084
NY-2024,5,5,0.2882,0.2776
NY-2024,6,6,0.27,0.2803
NY-2024,7,7,0.2665,0.3725
NY-2024,8,8,0.2549,0.3336
NY-2024,9,9,0.3873,0.5621
NY-2024,10,10,0.3598,0.5637
NY-2024,11,11,0.5749,0.4492
NY-2024,12,12,0.4069,0.5247
NY-2024,13,13,0.2705,0.3616
NY-2024,14,14,0.3401,0.3432
NY-2024,15,15,0.2285,0.4112
NY-2024,16,16,0.4372,0.557
NY-2024,17,17,0.4314,0.4384
NY-2024,18,18,0.2565,0.3474
NY-2024,19,19,0.1924,0.2536
NY-2024,20,20,0.3112,0.4017
NY-2024,21,21,0.3439,0.6311
NY-2024,22,22,0.3668,0.3478
NY-2024,23,23,0.2258,0.188
NY-2024,24,24,0.1805,0.2768
NY-2024,25,25,0.6138,0.5764
NY-2024,26,26,0.4355,0.4456
OH-2022,1,1,0.2463,0.289
OH-2022,2,2,0.3092,0.3859
OH-2022,3,3,0.5053,0.5967
OH-2022,4,4,0.3123,0.2987
OH-2022,5,5,0.1967,0.2058
OH-2022,6,6,0.2174,0.3303
OH-2022,7,7,0.2244,0.3406
OH-2022,8,8,0.2833,0.3686
OH-2022,9,9,0.2687,0.2047
OH-2022,10,10,0.4369,0.4343
OH-2022,11,11,0.3947,0.5519
OH-2022,12,12,0.3092,0.6145
OH-2022,13,13,0.2725,0.4976
OH-2022,14,14,0.6497,0.5578
OH-2022,15,15,0.145,0.2329
OH-2026,1,1,0.1522,0.2149
OH-2026,2,2,0.2474,0.2392
OH-2026,3,3,0.5053,0.5967
OH-2026,4,4,0.2965,0.2999
OH-2026,5,5,0.2703,0.3458
OH-2026,6,6,0.2713,0.4411
OH-2026,7,7,0.1901,0.2927
OH-2026,8,8,0.1724,0.3464
OH-2026,9,9,0.2795,0.2411
OH-2026,10,10,0.4489,0.398
OH-2026,11,11,0.3947,0.5519
OH-2026,12,12,0.2937,0.3273
OH-2026,13,13,0.2665,0.4537
OH-2026,14,14,0.5742,0.5609
OH-2026,15,15,0.1558,0.2793
OK-2022-(w 2020 Pres),1,1,0.3293,0.3944
OK-2022-(w 2020 Pres),2,2,0.2718,0.4837
OK-2022-(w 2020 Pres),3,3,0.2357,0.22
OK-2022-(w 2020 Pres),4,4,0.2535,0.3889
OK-2022-(w 2020 Pres),5,5,0.3439,0.4758
OR-2022-(w 2020 Pres),1,1,0.3989,0.4763
OR-2022-(w 2020 Pres),2,2,0.4304,0.3985
OR-2022-(w 2020 Pres),3,3,0.3516,0.2884
OR-2022-(w 2020 Pres),4,4,0.2501,0.3808
OR-2022-(w 2020 Pres),5,5,0.2124,0.4338
OR-2022-(w 2020 Pres),6,6,0.3755,0.475
PA-2022-(w 2020 Pres),1,1,0.3986,0.3242
PA-2022-(w 2020 Pres),2,2,0.4313,0.3332
PA-2022-(w 2020 Pres),3,3,0.3276,0.469
PA-2022-(w 2020 Pres),4,4,0.1744,0.2155
PA-2022-(w 2020 Pres),5,5,0.269,0.366
PA-2022-(w 2020 Pres),6,6,0.2972,0.4324
PA-2022-(w 2020 Pres),7,7,0.421,0.4667
PA-2022-(w 2020 Pres),8,8,0.2833,0.4494
PA-2022-(w 2020 Pres),9,9,0.2823,0.4759
PA-2022-(w 2020 Pres),10,10,0.2801,0.4312
PA-2022-(w 2020 Pres),11,11,0.3801,0.375
PA-2022-(w 2020 Pres),12,12,0.1863,0.492
PA-2022-(w 2020 Pres),13,13,0.3934,0.4613
PA-2022-(w 2020 Pres),14,14,0.3054,0.4258
PA-2022-(w 2020 Pres),15,15,0.43,0.4641
PA-2022-(w 2020 Pres),16,16,0.3942,0.465
PA-2022-(w 2020 Pres),17,17,0.2687,0.4216
RI-2022,1,1,0.2603,0.295
RI-2022,2,2,0.3033,0.4153
SC-2022,1,1,0.1492,0.2927
SC-2022,2,2,0.1735,0.4448
SC-2022,3,3,0.3507,0.4334
SC-2022,4,4,0.2399,0.3609
SC-2022,5,5,0.2339,0.297
SC-2022,6,6,0.0778,0.368
SC-2022,7,7,0.3065,0.3477
SC-notpassed-2026,1,1,0.2592,0.3953
SC-notpassed-2026,2,2,0.2312,0.577
SC-notpassed-2026,3,3,0.1962,0.2405
SC-notpassed-2026,4,4,0.4374,0.5473
SC-notpassed-2026,5,5,0.2021,0.2384
SC-notpassed-2026,6,6,0.3434,0.5034
SC-notpassed-2026,7,7,0.1816,0.2609
SD-2022-(w 2020 Pres),1,1,0.5619,0.4151
TN-2022,1,1,0.2725,0.2871
TN-2022,2,2,0.1674,0.3907
TN-2022,3,3,0.1563,0.3512
TN-2022,4,4,0.197,0.2293
TN-2022,5,5,0.1333,0.2456
TN-2022,6,6,0.2506,0.3064
TN-2022,7,7,0.2696,0.4261
TN-2022,8,8,0.2956,0.565
TN-2022,9,9,0.123,0.2945
TN-2026,1,1,0.2725,0.2871
TN-2026,2,2,0.1673,0.3907
TN-2026,3,3,0.2051,0.3206
TN-2026,4,4,0.2511,0.3862
TN-2026,5,5,0.0912,0.1739
TN-2026,6,6,0.2426,0.2406
TN-2026,7,7,0.2582,0.2821
TN-2026,8,8,0.2104,0.2966
TN-2026,9,9,0.1415,0.1401
TX-2022,1,1,0.1652,0.345
TX-2022,2,2,0.2301,0.3953
TX-2022,3,3,0.3482,0.441
TX-2022,4,4,0.0773,0.2186
TX-2022,5,5,0.1532,0.3009
TX-2022,6,6,0.1585,0.2615
TX-2022,7,7,0.0926,0.2236
TX-2022,8,8,0.2278,0.2923
TX-2022,9,9,0.1648,0.4307
TX-2022,10,10,0.1888,0.3443
TX-2022,11,11,0.3062,0.219
TX-2022,12,12,0.2098,0.3746
TX-2022,13,13,0.2813,0.2448
TX-2022,14,14,0.1646,0.1821
TX-2022,15,15,0.112,0.1314
TX-2022,16,16,0.2311,0.2661
TX-2022,17,17,0.1451,0.255
TX-2022,18,18,0.0682,0.4175
TX-2022,19,19,0.5326,0.4643
TX-2022,20,20,0.1306,0.454
TX-2022,21,21,0.3084,0.3668
TX-2022,22,22,0.1657,0.376
TX-2022,23,23,0.1994,0.2449
TX-2022,24,24,0.1156,0.2309
TX-2022,25,25,0.2607,0.4027
TX-2022,26,26,0.1513,0.3536
TX-2022,27,27,0.3729,0.4936
TX-2022,28,28,0.2089,0.2837
TX-2022,29,29,0.0925,0.3021
TX-2022,30,30,0.2004,0.3628
TX-2022,31,31,0.1982,0.4931
TX-2022,32,32,0.0783,0.2254
TX-2022,33,33,0.0385,0.2002
TX-2022,34,34,0.2684,0.4367
TX-2022,35,35,0.0794,0.0805
TX-2022,36,36,0.2531,0.3503
TX-2022,37,37,0.1559,0.4268
TX-2022,38,38,0.1282,0.3957
TX-2026,1,1,0.1992,0.4347
TX-2026,2,2,0.1692,0.4296
TX-2026,3,3,0.2344,0.2364
TX-2026,4,4,0.1074,0.1911
TX-2026,5,5,0.1905,0.3087
TX-2026,6,6,0.2721,0.3996
TX-2026,7,7,0.1101,0.1762
TX-2026,8,8,0.1407,0.3451
TX-2026,9,9,0.3409,0.4631
TX-2026,10,10,0.1492,0.2075
TX-2026,11,11,0.2168,0.1822
TX-2026,12,12,0.2881,0.4168
TX-2026,13,13,0.2884,0.244
TX-2026,14,14,0.1426,0.1669
TX-2026,15,15,0.1335,0.1934
TX-2026,16,16,0.2927,0.3258
TX-2026,17,17,0.2444,0.425
TX-2026,18,18,0.2022,0.2749
TX-2026,19,19,0.5326,0.4643
TX-2026,20,20,0.1476,0.2561
TX-2026,21,21,0.309,0.3984
TX-2026,22,22,0.2072,0.4812
TX-2026,23,23,0.2194,0.2478
TX-2026,24,24,0.1981,0.2673
TX-2026,25,25,0.2755,0.3911
TX-2026,26,26,0.1578,0.3697
TX-2026,27,27,0.1376,0.3759
TX-2026,28,28,0.2924,0.4024
TX-2026,29,29,0.2341,0.4598
TX-2026,30,30,0.3563,0.2858
TX-2026,31,31,0.3109,0.4738
TX-2026,32,32,0.1691,0.1402
TX-2026,33,33,0.1112,0.2497
TX-2026,34,34,0.3107,0.3701
TX-2026,35,35,0.3133,0.47
TX-2026,36,36,0.1364,0.2929
TX-2026,37,37,0.2172,0.4451
TX-2026,38,38,0.2023,0.3488
UT-2022,1,1,0.4794,0.3614
UT-2022,2,2,0.3829,0.505
UT-2022,3,3,0.2714,0.4594
UT-2022,4,4,0.2859,0.4721
UT-2026,1,1,0.4159,0.417
UT-2026,2,2,0.4223,0.3686
UT-2026,3,3,0.369,0.4353
