"GEOID","TOTAL"
"290019501003012","50"
"290019501003013","2"
"290019501003014","3"
"290019501003015","5"
"290019501003016","0"
"290019501003017","13"
"290019501003018","14"
"290019501003019","3"
"290019501003020","7"
"290019501003021","0"
"290019501003022","36"
"290019501003023","3"
"290019501003024","0"
"290019501003025","5"
"290019501003026","1"
"290019501003027","8"
"290019501003028","0"
"290019501003029","3"
"290019501003030","20"
"290019501003031","3"
"290019501003032","4"
"290019501003033","7"
"290019501003034","12"
"290019501003035","8"
"290019501003036","0"
"290019501003037","4"
"290019501003038","7"
"290019501003039","0"
"290019501003040","7"
"290019501003041","8"
"290019501003042","0"
"290019501003043","0"
"290019501003044","7"
"290019501003045","0"
"290019501003046","11"
"290019501003047","4"
"290019501003048","23"
"290019501003049","8"
"290019501003050","9"
"290019501003051","0"
"290019501003052","7"
"290019501003053","13"
"290019501003054","3"
"290019501003055","1"
"290019501003056","9"
"290019501003057","7"
"290019501003058","3"
"290019501003059","0"
"290019501003060","0"
"290019501003061","1"
"290019501003062","0"
"290019501003063","0"
"290019501003064","0"
"290019501003065","0"
"290019501003066","0"
"290019501003067","0"
"290019501003068","4"
"290019501003069","0"
"290019501003070","0"
"290019501003071","3"
"290019501003072","0"
"290019501003073","1"
"290019501003074","2"
"290019501003075","5"
"290019501003076","0"
"290019501003077","8"
"290019501003078","0"
"290019501003079","2"
"290019501003080","4"
"290019501003081","12"
"290019501003082","0"
"290019501003083","0"
"290019501003084","5"
"290019501003085","13"
"290019501003086","18"
"290019501003087","6"
"290019501003088","0"
"290019501003089","0"
"290019501003090","24"
"290019501003091","0"
"290019501003092","0"
"290019501003093","1"
"290019501003094","0"
"290019501003095","0"
"290019501003096","0"
"290019501003097","15"
"290019501003098","5"
"290019501003099","1"
"290019501003100","7"
"290019501003101","8"
"290019501003102","2"
"290019501003103","0"
"290019501003104","0"
"290019501003105","0"
"290019501003106","11"
"290019501003107","19"
"290019501003108","0"
"290019501003109","0"
"290019501003110","0"
"290019501003111","0"
"290019501003112","8"
"290019501003113","10"
"290019501003114","7"
"290019501003115","5"
"290019501003116","7"
"290019501003117","2"
"290019501003118","18"
"290019501003119","8"
"290019501003120","0"
"290019501003121","0"
"290019501003122","7"
"290019501003123","4"
"290019501003124","2"
"290019501003125","4"
"290019501003126","0"
"290019501003127","6"
"290019501003128","0"
"290019501003129","5"
"290019501003130","10"
"290019501003131","0"
"290019501003132","0"
"290019501003133","2"
"290019501003134","17"
"290019501003135","3"
"290019501003136","0"
"290019501003137","3"
"290019501003138","0"
"290019501003139","6"
"290019501003140","20"
"290019501003141","0"
"290019501003142","0"
"290019501003143","4"
"290019501003144","3"
"290019501003145","0"
"290019501003146","8"
"290019501003147","0"
"290019501003148","0"
"290019501003149","0"
"290019501003150","9"
"290019501003151","0"
"290019501003152","7"
"290019501003153","0"
"290019501003154","6"
"290019501003155","3"
"290019501003156","3"
"290019501003157","0"
"290019501003158","1"
"290019501003159","5"
"290019501003160","12"
"290019501003161","12"
"290019501003162","0"
"290019501003163","23"
"290019501003164","0"
"290019501003165","3"
"290019501003166","17"
"290019501003167","2"
"290019501003168","1"
"290019501003169","0"
"290019501003170","7"
"290019501003171","10"
"290019501003172","0"
"290019501003173","10"
"290019502001000","21"
"290019502001001","0"
"290019502001002","0"
"290019502001003","0"
"290019502001004","1"
"290019502001005","0"
"290019502001006","1"
"290019502001007","22"
"290019502001008","6"
"290019502001009","0"
"290019502001010","3"
"290019502001011","22"
"290019502001012","16"
"290019502001013","31"
"290019502001014","24"
"290019502001015","5"
"290019502001016","7"
"290019502001017","0"
"290019502001018","8"
"290019502001019","6"
"290019502001020","0"
"290019502001021","4"
"290019502001022","0"
"290019502001023","5"
"290019502001024","11"
"290019502001025","19"
"290019502001026","0"
"290019502001027","3"
"290019502001028","15"
"290019502001029","3"
"290019502001030","0"
"290019502001031","0"
"290019502001032","0"
"290019502001033","0"
"290019502001034","2"
"290019502001035","5"
"290019502001036","0"
"290019502001037","37"
"290019502001038","0"
"290019502001039","24"
"290019502001040","0"
"290019502001041","34"
"290019502001042","17"
"290019502001043","19"
"290019502001044","29"
"290019502001045","3"
"290019502001046","0"
"290019502001047","0"
"290019502001048","2"
"290019502001049","4"
"290019502001050","6"
"290019502001051","20"
"290019502001052","7"
"290019502001053","8"
"290019502001054","5"
"290019502001055","3"
"290019502001056","4"
"290019502001057","27"
"290019502001058","9"
"290019502001059","2"
"290019502001060","4"
"290019502001061","3"
"290019502001062","8"
"290019502001063","2"
"290019502001064","8"
"290019502001065","1"
"290019502001066","4"
"290019502001067","0"
"290019502001068","2"
"290019502001069","1"
"290019502001070","9"
"290019502001071","11"
"290019502001072","8"
"290019502001073","11"
"290019502001074","2"
"290019502001075","2"
"290019502001076","9"
"290019502001077","1"
"290019502001078","2"
"290019502001079","6"
"290019502001080","37"
"290019502001081","35"
"290019502001082","9"
"290019502001083","3"
"290019502001084","2"
"290019502001085","9"
"290019502001086","3"
"290019502001087","26"
"290019502001088","6"
"290019502001089","0"
"290019502001090","14"
"290019502001091","6"
"290019502001092","3"
"290019502001093","6"
"290019502001094","6"
"290019502001095","17"
"290019502001096","1"
"290019502001097","9"
"290019502001098","0"
"290019502001099","0"
"290019502001100","0"
"290019502001101","19"
"290019502002000","0"
"290019502002001","14"
"290019502002002","2"
"290019502002003","5"
"290019502002004","19"
"290019502002005","6"
"290019502002006","0"
"290019502002007","25"
"290019502002008","23"
"290019502002009","7"
"290019502002010","0"
"290019502002011","9"
"290019502002012","1"
"290019502002013","12"
"290019502002014","8"
"290019502002015","2"
"290019502002016","0"
"290019502002017","0"
"290019502002018","1"
"290019502002019","0"
"290019502002020","0"
"290019502002021","16"
"290019502002022","0"
"290019502002023","0"
"290019502002024","0"
"290019502002025","12"
"290019502002026","0"
"290019502002027","0"
"290019502002028","17"
"290019502002029","25"
"290019502002030","11"
"290019502002031","1"
"290019502002032","0"
"290019502002033","0"
"290019502002034","6"
"290019502002035","2"
"290019502002036","28"
"290019502002037","13"
"290019502002038","20"
"290019502002039","11"
"290019502002040","25"
"290019502002041","5"
"290019502002042","11"
"290019502002043","0"
"290019502002044","2"
"290019502002045","13"
"290019502002046","0"
"290019502002047","0"
"290019502002048","15"
"290019502002049","0"
"290019502002050","14"
"290019502002051","19"
"290019502002052","10"
"290019502002053","13"
"290019502002054","4"
"290019502002055","0"
"290019502002056","11"
"290019502002057","9"
"290019502002058","0"
"290019502002059","11"
"290019502002060","8"
"290019502002061","0"
"290019502002062","0"
"290019502002063","8"
"290019502002064","1"
"290019502002065","0"
"290019502002066","0"
"290019502002067","10"
"290019502002068","0"
"290019502002069","10"
"290019502002070","6"
"290019502002071","0"
"290019502002072","0"
"290019502002073","0"
"290019502002074","13"
"290019502002075","4"
"290019502002076","0"
"290019502002077","14"
"290019502002078","0"
"290019502002079","49"
"290019502002080","1"
"290019502002081","0"
"290019502002082","0"
"290019502002083","8"
"290019502002084","26"
"290019502002085","0"
"290019502002086","2"
"290019502002087","14"
"290019502002088","0"
"290019502002089","12"
"290019502002090","0"
"290019502002091","9"
"290019502002092","5"
"290019502002093","0"
"290019502002094","3"
"290019502002095","0"
"290019502002096","0"
"290019502002097","0"
"290019502002098","0"
"290019502002099","11"
"290019502002100","13"
"290019502002101","0"
"290019502002102","2"
"290019502002103","1"
"290019502002104","1"
"290019502002105","7"
"290019502002106","1"
"290019502002107","14"
"290019502002108","3"
"290019502002109","12"
"290019502002110","0"
"290019502002111","9"
"290019502002112","7"
"290019502002113","0"
"290019502002114","8"
"290019502002115","0"
"290019502002116","0"
"290019502002117","3"
"290019502002118","0"
"290019502003000","0"
"290019502003001","0"
"290019502003002","0"
"290019502003003","36"
"290019502003004","32"
"290019502003005","42"
"290019502003006","13"
"290019502003007","69"
"290019502003008","5"
"290019502003009","7"
"290019502003010","24"
"290019502003011","0"
"290019502003012","0"
"290019502003013","17"
"290019502003014","0"
"290019502003015","0"
"290019502003016","4"
"290019502003017","28"
"290019502003018","18"
"290019502003019","90"
"290019502003020","0"
"290019502003021","3"
"290019502003022","42"
"290019502003023","13"
"290019502003024","32"
"290019502003025","23"
"290019502003026","14"
"290019502003027","0"
"290019502003028","0"
"290019502003029","0"
"290019502003030","8"
"290019502003031","0"
"290019502003032","0"
"290019502003033","7"
"290019502003034","49"
"290019502003035","0"
"290019502003036","0"
"290019502003037","12"
"290019502003038","4"
"290019502003039","0"
"290019502003040","0"
"290019502003041","0"
"290019502003042","0"
"290019502003043","0"
"290019502003044","0"
"290019502003045","12"
"290019502003046","0"
"290019502003047","33"
"290019502003048","30"
"290019502003049","0"
"290019502003050","5"
"290019502003051","3"
"290019502003052","24"
"290019502003053","8"
"290019502003054","26"
"290019502003055","8"
"290019502003056","8"
"290019502003057","0"
"290019502003058","0"
"290019502003059","0"
"290019502003060","22"
"290019502003061","5"
"290019502003062","0"
"290019502003063","19"
"290019502003064","0"
"290019502003065","0"
"290019502003066","0"
"290019502003067","0"
"290019502003068","10"
"290019502003069","19"
"290019502003070","6"
"290019502003071","0"
"290019502003072","2"
"290019502003073","10"
"290019502003074","12"
"290019502003075","1"
"290019502003076","0"
"290019502003077","4"
"290019502003078","8"
"290019502003079","11"
"290019502003080","0"
"290019502003081","0"
"290019502003082","0"
"290019502003083","1"
"290019502003084","1"
"290019502003085","3"
"290019502003086","9"
"290019502003087","0"
"290019502003088","3"
"290019502003089","0"
"290019502003090","0"
"290019502003091","12"
"290019502003092","2"
"290019502003093","1"
"290019502003094","20"
"290019502003095","0"
"290019502003096","6"
"290019502003097","8"
"290019502003098","0"
"290019502003099","0"
"290019502003100","7"
"290019502003101","2"
"290019502003102","9"
"290019502003103","0"
"290019502003104","0"
"290019502003105","8"
"290019502003106","1"
"290019502003107","0"
"290019502003108","1"
"290019502003109","5"
"290019502003110","21"
"290019502003111","0"
"290019502003112","8"
"290019502003113","0"
"290019502003114","8"
"290019502003115","0"
"290019502003116","0"
"290019502003117","0"
"290019502003118","0"
"290019502003119","0"
"290019502003120","0"
"290019502003121","8"
"290019502003122","2"
"290019502003123","6"
"290019502003124","3"
"290019502003125","12"
"290019502003126","0"
"290019502003127","11"
"290019502003128","0"
"290019502003129","1"
"290019502003130","0"
"290019502003131","4"
"290019502003132","2"
"290019502003133","0"
"290019502003134","0"
"290019502003135","0"
"290019502003136","0"
"290019502003137","0"
"290019502003138","0"
"290019502003139","8"
"290019502003140","4"
"290019502003141","7"
"290019502003142","14"
"290019502003143","0"
"290019502003144","24"
"290019502003145","20"
"290019502003146","3"
"290019502003147","4"
"290019502003148","0"
"290019502003149","0"
"290019502003150","6"
"290019502003151","0"
"290019502003152","0"
"290019502003153","0"
"290019502003154","7"
"290019502003155","0"
"290019502003156","7"
"290019502003157","70"
"290019502003158","5"
"290019502003159","0"
"290019502003160","0"
"290019502003161","4"
"290019502003162","7"
"290019503001000","8"
"290019503001001","9"
"290019503001002","0"
"290019503001003","0"
"290019503001004","17"
"290019503001005","45"
"290019503001006","37"
"290019503001007","14"
"290019503001008","0"
"290019503001009","17"
"290019503001010","12"
"290019503001011","0"
"290019503001012","0"
"290019503001013","0"
"290019503001014","5"
"290019503001015","1"
"290019503001016","0"
"290019503001017","2"
"290019503001018","35"
"290019503001019","3"
"290019503001020","0"
"290019503001021","31"
"290019503001022","27"
"290019503001023","22"
"290019503001024","31"
"290019503001025","23"
"290019503001026","5"
"290019503001027","8"
"290019503001028","145"
"290019503001029","0"
"290019503001030","20"
"290019503001031","10"
"290019503001032","76"
"290019503001033","31"
"290019503001034","17"
"290019503001035","14"
"290019503001036","11"
"290019503001037","7"
"290019503001038","13"
"290019503001039","10"
"290019503002000","2"
"290019503002001","8"
"290019503002002","8"
"290019503002003","3"
"290019503002004","4"
"290019503002005","8"
"290019503002006","12"
"290019503002007","9"
"290019503002008","62"
"290019503002009","11"
"290019503002010","51"
"290019503002011","23"
"290019503002012","15"
"290019503002013","3"
"290019503002014","9"
"290019503002015","11"
"290019503002016","13"
"290019503002017","2"
"290019503002018","24"
"290019503002019","16"
"290019503002020","37"
"290019503002021","12"
"290019503002022","9"
"290019503002023","17"
"290019503002024","13"
"290019503002025","0"
"290019503002026","0"
"290019503002027","4"
"290019503002028","31"
"290019503002029","8"
"290019503002030","25"
"290019503002031","24"
"290019503002032","13"
"290019503002033","26"
"290019503002034","12"
"290019503002035","39"
"290019503002036","15"
"290019503002037","6"
"290019503002038","17"
"290019503002039","23"
"290019503002040","19"
"290019503002041","18"
"290019503003000","148"
"290019503003001","36"
"290019503003002","21"
"290019503003003","12"
"290019503003004","9"
"290019503003005","0"
"290019503003006","15"
"290019503003007","11"
"290019503003008","7"
"290019503003009","4"
"290019503003010","27"
"290019503003011","31"
"290019503003012","23"
"290019503003013","23"
"290019503003014","0"
"290019503003015","3"
"290019503003016","24"
"290019503003017","19"
"290019503003018","4"
"290019503003019","7"
"290019503003020","10"
"290019503003021","7"
"290019503003022","3"
"290019503003023","11"
"290019503003024","26"
"290019503003025","17"
"290019503003026","12"
"290019503003027","10"
"290019503003028","9"
"290019503003029","13"
"290019503003030","6"
"290019503003031","8"
"290019503003032","20"
"290019503003033","23"
"290019503003034","11"
"290019503003035","12"
"290019503003036","19"
"290019503003037","16"
"290019503003038","20"
"290019503003039","25"
"290019503003040","6"
"290019503003041","5"
"290019503003042","12"
"290019503003043","17"
"290019503003044","0"
"290019503003045","0"
"290019503003046","4"
"290019503003047","0"
"290019503003048","0"
"290019503003049","0"
"290019503003050","0"
"290019503004000","20"
"290019503004001","2"
"290019503004002","14"
"290019503004003","24"
"290019503004004","1"
"290019503004005","9"
"290019503004006","67"
"290019503004007","0"
"290019503004008","34"
"290019503004009","44"
"290019503004010","4"
"290019503004011","24"
"290019503004012","5"
"290019503004013","11"
"290019503004014","27"
"290019503004015","3"
"290019503004016","0"
"290019503004017","0"
"290019503004018","8"
"290019503004019","21"
"290019503004020","7"
"290019503004021","8"
"290019503004022","38"
"290019503004023","14"
"290019503004024","0"
"290019503004025","12"
"290019503004026","10"
"290019503004027","14"
"290019503004028","16"
"290019503004029","6"
"290019503004030","2"
"290019503004031","22"
"290019503004032","13"
"290019503004033","40"
"290019503004034","62"
"290019503004035","18"
"290019503004036","12"
"290019503004037","0"
"290019503004038","0"
"290019503004039","9"
"290019503004040","23"
"290019503004041","20"
"290019503004042","23"
"290019503004043","0"
"290019503004044","20"
"290019503004045","24"
"290019503004046","9"
"290019503004047","26"
"290019503004048","10"
"290019503004049","11"
"290019503004050","3"
"290019503004051","21"
"290019504001000","30"
"290019504001001","18"
"290019504001002","0"
"290019504001003","105"
"290019504001004","13"
"290019504001005","6"
"290019504001006","461"
"290019504001007","18"
"290019504001008","41"
"290019504001009","83"
"290019504001010","55"
"290019504001011","12"
"290019504001012","0"
"290019504001013","76"
"290019504001014","30"
"290019504001015","38"
"290019504001016","2"
"290019504001017","22"
"290019504001018","0"
"290019504001019","34"
"290019504001020","38"
"290019504001021","37"
"290019504001022","60"
"290019504001023","0"
"290019504001024","0"
"290019504001025","49"
"290019504001026","27"
"290019504001027","32"
"290019504001028","62"
"290019504001029","111"
"290019504001030","0"
"290019504001031","25"
"290019504001032","16"
"290019504001033","32"
"290019504001034","31"
"290019504001035","23"
"290019504002000","19"
"290019504002001","10"
"290019504002002","172"
"290019504002003","25"
"290019504002004","40"
"290019504002005","49"
"290019504002006","31"
"290019504002007","44"
"290019504002008","50"
"290019504002009","23"
"290019504002010","21"
"290019504002011","28"
"290019504002012","33"
"290019504002013","37"
"290019504002014","20"
"290019504002015","175"
"290019504002016","72"
"290019504002017","61"
"290019504002018","72"
"290019504002019","46"
"290019504002020","62"
"290019504002021","57"
"290019504002022","156"
"290019504002023","69"
"290019504002024","14"
"290019504002025","3"
"290019504002026","57"
"290019504002027","27"
"290019504002028","15"
"290019504002029","49"
"290019504002030","22"
"290019504002031","0"
"290019504002032","10"
"290019504002033","27"
"290019504002034","27"
"290019504002035","53"
"290019504003000","4"
"290019504003001","34"
"290019504003002","0"
"290019504003003","0"
"290019504003004","46"
"290019504003005","31"
"290019504003006","33"
"290019504003007","49"
"290019504003008","31"
"290019504003009","22"
"290019504003010","23"
"290019504003011","32"
"290019504003012","25"
"290019504003013","7"
"290019504003014","39"
"290019504003015","96"
"290019504003016","65"
"290019504003017","0"
"290019504003018","20"
"290019504003019","81"
"290019504003020","64"
"290019504003021","33"
"290019504003022","0"
"290019504003023","57"
"290019504003024","131"
"290019504003025","0"
"290019504003026","0"
"290019504003027","2"
"290019504003028","5"
"290019505011000","100"
"290019505011001","6"
"290019505011002","26"
"290019505011003","22"
"290019505011004","22"
"290019505011005","14"
"290019505011006","0"
"290019505011007","9"
"290019505011008","1"
"290019505011009","7"
"290019505011010","16"
"290019505011011","13"
"290019505011012","14"
"290019505011013","20"
"290019505011014","20"
"290019505011015","13"
"290019505011016","30"
"290019505011017","26"
"290019505011018","4"
"290019505011019","15"
"290019505011020","14"
"290019505011021","16"
"290019505011022","18"
"290019505011023","17"
"290019505011024","80"
"290019505011025","15"
"290019505011026","12"
"290019505011027","16"
"290019505011028","55"
"290019505011029","12"
"290019505011030","15"
"290019505011031","8"
"290019505011032","1"
"290019505011033","8"
"290019505011034","15"
"290019505011035","23"
"290019505011036","24"
"290019505011037","19"
"290019505011038","14"
"290019505011039","8"
"290019505011040","2"
"290019505011041","29"
"290019505011042","12"
"290019505011043","21"
"290019505011044","15"
"290019505011045","21"
"290019505011046","38"
"290019505011047","42"
"290019505011048","171"
"290019505011049","0"
"290019505011050","16"
"290019505011051","58"
"290019505011052","37"
"290019505011053","49"
"290019505011054","54"
"290019505011055","25"
"290019505011056","25"
"290019505011057","7"
"290019505011058","22"
"290019505011059","7"
"290019505011060","6"
"290019505011061","16"
"290019505011062","13"
"290019505011063","10"
"290019505011064","19"
"290019505011065","29"
"290019505012000","8"
"290019505012001","16"
"290019505012002","15"
"290019505012003","4"
"290019505012004","5"
"290019505012005","0"
"290019505012006","40"
"290019505012007","19"
"290019505012008","28"
"290019505012009","10"
"290019505012010","8"
"290019505012011","27"
"290019505012012","0"
"290019505012013","6"
"290019505012014","19"
"290019505012015","0"
"290019505012016","0"
"290019505012017","8"
"290019505012018","24"
"290019505012019","0"
"290019505012020","0"
"290019505012021","40"
"290019505012022","22"
"290019505012023","25"
"290019505012024","27"
"290019505012025","14"
"290019505012026","10"
"290019505012027","17"
"290019505012028","60"
"290019505012029","7"
"290019505012030","36"
"290019505012031","32"
"290019505012032","52"
"290019505012033","5"
"290019505012034","148"
"290019505012035","14"
"290019505013000","25"
"290019505013001","103"
"290019505013002","47"
"290019505013003","13"
"290019505013004","2"
"290019505013005","10"
"290019505013006","2"
"290019505013007","44"
"290019505013008","16"
"290019505013009","116"
"290019505013010","20"
"290019505013011","37"
"290019505013012","46"
"290019505013013","15"
"290019505013014","19"
"290019505013015","160"
"290019505013016","29"
"290019505013017","124"
"290019505013018","2"
"290019505013019","342"
"290019505013020","35"
"290019505013021","5"
"290019505013022","29"
"290019505013023","0"
"290019505013024","20"
"290019505013025","7"
"290019505013026","28"
"290019505013027","4"
"290019505013028","0"
"290019505013029","86"
"290019505013030","8"
"290019505013031","33"
"290019505013032","0"
"290019505013033","0"
"290019505013034","27"
"290019505013035","32"
"290019505013036","14"
"290019505013037","0"
"290019505013038","0"
"290019505013039","0"
"290019505013040","0"
"290019505013041","0"
"290019505013042","83"
"290019505013043","0"
"290019505013044","42"
"290019505013045","17"
"290019505013046","4"
"290019505013047","19"
"290019505021000","40"
"290019505021001","3"
"290019505021002","183"
"290019505021003","215"
"290019505021004","28"
"290019505021005","129"
"290019505021006","0"
"290019505021007","81"
"290019505021008","9"
"290019505021009","0"
"290019505021010","16"
"290019505021011","0"
"290019505021012","63"
"290019505021013","38"
"290019505021014","5"
"290019505021015","0"
"290019505021016","6"
"290019505021017","0"
"290019505021018","0"
"290019505021019","0"
"290019505021020","25"
"290019505021021","10"
"290019505021022","0"
"290019505021023","0"
"290019505021024","10"
"290019505021025","0"
"290019505022000","27"
"290019505022001","23"
"290019505022002","9"
"290019505022003","32"
"290019505022004","14"
"290019505022005","19"
"290019505022006","9"
"290019505022007","23"
"290019505022008","26"
"290019505022009","15"
"290019505022010","16"
"290019505022011","49"
"290019505022012","15"
"290019505022013","12"
"290019505022014","12"
"290019505022015","20"
"290019505022016","10"
"290019505022017","5"
"290019505022018","5"
"290019505022019","5"
"290019505022020","11"
"290019505022021","0"
"290019505022022","11"
"290019505022023","20"
"290019505022024","18"
"290019505022025","18"
"290019505022026","15"
"290019505022027","16"
"290019505022028","0"
"290019505022029","26"
"290019505022030","8"
"290019505022031","23"
"290019505022032","10"
"290019505022033","4"
"290019505022034","13"
"290019505022035","15"
"290019505022036","27"
"290019505022037","21"
"290019505022038","26"
"290019505022039","10"
"290019505022040","9"
"290019505022041","12"
"290019505022042","18"
"290019505022043","0"
"290019505022044","53"
"290019505022045","35"
"290019505022046","32"
"290019505022047","14"
"290019505022048","42"
"290019505022049","19"
"290019505022050","38"
"290019505022051","33"
"290019505022052","0"
"290019505023000","0"
"290019505023001","193"
"290019505023002","20"
"290019505023003","0"
"290019505023004","262"
"290019505023005","63"
"290019505023006","54"
"290019505023007","63"
"290019505023008","380"
"290019505023009","31"
"290019505023010","31"
"290019505023011","36"
"290019505023012","55"
"290019505023013","10"
"290019505023014","3"
"290019505023015","20"
"290019505023016","86"
"290019505023017","7"
"290019505023018","0"
"290019505023019","0"
"290019505023020","0"
"290019505023021","21"
"290019505023022","30"
"290019505023023","0"
"290019505023024","0"
"290019505023025","0"
"290019505023026","0"
"290019505023027","0"
"290019505023028","8"
"290019505023029","86"
"290019509001000","43"
"290019509001001","13"
"290019509001002","33"
"290019509001003","56"
"290019509001004","22"
"290019509001005","23"
"290019509001006","43"
"290019509001007","144"
"290019509001008","3"
"290019509001009","19"
"290019509001010","0"
"290019509001011","23"
"290019509001012","13"
"290019509001013","8"
"290019509001014","0"
"290019509001015","70"
"290019509001016","13"
"290019509001017","10"
"290019509001018","24"
"290019509001019","16"
"290019509001020","33"
"290019509001021","8"
"290019509001022","7"
"290019509001023","13"
