state-district,state,district,pop,income,medianHome,whiteNH,black,asian,hispanic,bach,master
GA-10,GA,10,782112,75539,279873,474836,196566,18458,62780,87987,41454
GA-11,GA,11,775112,102769,361139,519393,89642,30635,96141,142184,55375
GA-12,GA,12,769207,63835,176768,398412,279139,13148,44799,72961,32938
GA-13,GA,13,786359,83539,276116,194194,390806,50535,115932,100268,44419
GA-14,GA,14,772010,81626,246909,541191,91373,12171,96289,87799,37510
HI-01,HI,01,721772,111628,854497,107335,14251,355568,59214,128990,50580
HI-02,HI,02,723863,97973,775214,197994,11747,175621,83011,101651,38737
IA-01,IA,01,798572,77128,215100,670334,32645,18131,46346,110006,42710
IA-02,IA,02,795074,76020,192758,689828,31249,12074,31092,104778,36709
IA-03,IA,03,806699,85644,235816,637949,41518,30352,67022,132359,44972
IA-04,IA,04,795592,72451,179107,656568,14784,16933,79011,94257,29897
ID-01,ID,01,957725,80595,418492,769225,6296,9850,116229,129515,44286
ID-02,ID,02,935571,76116,380521,732942,6699,14350,136237,129323,46931
IL-01,IL,01,748165,80480,264438,276145,359916,15000,72056,96422,52928
IL-02,IL,02,743629,65225,157276,255097,344364,7539,112852,71617,38307
IL-03,IL,03,740784,89215,364337,297837,37835,51001,333532,119557,50804
IL-04,IL,04,732528,77894,292633,174965,35549,30825,481738,71795,32459
IL-05,IL,05,745387,123703,503453,521781,21187,79995,93519,204335,106369
IL-06,IL,06,745151,104157,346472,520851,39402,44084,115433,140310,65433
IL-07,IL,07,739457,85187,357327,224322,303155,62895,123732,132698,73261
IL-08,IL,08,746611,102216,307321,401817,33522,97391,187723,134138,56160
IL-09,IL,09,745395,101404,386337,439141,64520,105783,102856,165447,90885
IL-10,IL,10,751023,122010,388628,432898,45994,59613,184399,132906,71371
IL-11,IL,11,752997,115361,338403,476003,44851,62039,145954,138696,69949
IL-12,IL,12,748230,71183,149137,655709,36314,7191,22702,78386,36178
IL-13,IL,13,748564,65713,155418,504051,142927,29058,35843,88846,48876
IL-14,IL,14,759393,100878,274326,448499,69986,38137,176914,103003,48638
IL-15,IL,15,748885,74842,151791,675079,23843,6339,21855,87428,34925
IL-16,IL,16,748561,87988,197703,633389,20579,17419,53212,104495,43052
IL-17,IL,17,747894,60367,127440,518991,95944,15796,83798,79121,32547
IN-01,IN,01,756569,76634,218935,459277,132615,10601,128858,88440,34551
IN-02,IN,02,751656,69781,180220,574683,46653,11290,87560,76040,32736
IN-03,IN,03,758014,73002,189786,614414,43435,20620,51328,83955,31648
IN-04,IN,04,762631,82065,230216,624966,32172,24959,55655,96391,41647
IN-05,IN,05,764277,93001,257509,625904,38667,28402,36659,129446,54449
IN-06,IN,06,756826,78770,212204,611807,35501,38787,41835,92576,39482
IN-07,IN,07,749918,67632,210938,342950,243518,14513,111058,109813,45350
IN-08,IN,08,754853,67758,164927,665662,29833,7370,23942,76297,30868
IN-09,IN,09,757008,72526,213093,664408,19597,14750,32515,82479,41091
KS-01,KS,01,732091,67332,175359,551344,18413,13291,116212,88258,35051
KS-02,KS,02,731791,68821,162113,519332,57943,13439,96813,83637,38795
KS-03,KS,03,738597,110839,360017,564212,34206,33932,74712,158034,73692
KS-04,KS,04,735090,72917,181088,520475,44142,24006,101778,95599,40819
KY-01,KY,01,752551,58125,158702,638743,50645,4883,29386,62177,31831
KY-02,KY,02,758876,67630,201894,642194,38590,14477,33816,72875,35665
KY-03,KY,03,743465,71579,242525,465743,166379,20476,58649,108284,52652
KY-04,KY,04,755818,84806,240017,662577,23912,8585,32252,100311,45910
KY-05,KY,05,745983,46500,116816,702345,10087,2933,11333,42958,27947
KY-06,KY,06,754033,72454,244504,601225,60829,16420,46726,103237,51003
LA-01,LA,01,766246,80952,304272,532212,93209,16950,85924,117924,45761
LA-02,LA,02,771754,61009,240640,262248,379950,19494,79829,88829,41098
LA-03,LA,03,772297,65795,195506,511165,167222,11927,43353,82595,26915
LA-04,LA,04,769487,63465,177891,523511,160659,8764,40799,78888,32042
LA-05,LA,05,775894,65227,204898,480826,221534,11052,35187,83636,33514
LA-06,LA,06,765347,52423,167579,288826,402223,10803,35930,69795,31393
MA-01,MA,01,776134,79405,294038,544855,41357,16792,147123,100635,56293
MA-02,MA,02,776271,106049,420484,556001,36633,54043,89349,130396,82139
MA-03,MA,03,777197,107813,480667,474899,30886,60652,172799,122039,68415
MA-04,MA,04,781391,130745,677549,606434,25195,51108,50421,135773,86868
MA-05,MA,05,773809,135329,805931,494247,38162,103262,85834,157826,115475
MA-06,MA,06,778916,125714,633395,598068,25012,36710,86185,157454,88369
MA-07,MA,07,769397,90832,716725,301730,159803,84140,170101,136165,78910
MA-08,MA,08,776599,122452,647400,512206,78359,73422,55059,165857,90368
MA-09,MA,09,782520,104514,564437,650338,19714,11732,47740,143472,73155
MD-01,MD,01,776903,97474,340699,562310,114978,17678,45199,107921,58676
MD-02,MD,02,768778,106949,379375,462264,181236,43324,48557,132421,77123
MD-03,MD,03,773754,138969,520267,444979,133391,79607,70373,144712,98001
MD-04,MD,04,759327,94370,383694,78364,414394,37662,198388,96802,53892
MD-05,MD,05,782162,132099,447336,340140,313185,22382,58504,122424,79638
MD-06,MD,06,783545,109544,389612,471308,97460,68927,107485,118731,73388
MD-07,MD,07,758148,66759,227553,223787,416725,22242,63821,91491,53729
MD-08,MD,08,768118,151009,713130,340554,127984,103842,151945,145423,112986
ME-01,ME,01,689464,89205,382031,617513,12930,9792,16011,133372,59562
ME-02,ME,02,687936,64604,202624,630937,9547,5323,12598,90341,36243
MI-01,MI,01,779719,64462,198577,700600,9309,4981,17286,98050,44329
MI-02,MI,02,779674,68826,192603,686954,15209,4430,37487,78343,31525
MI-03,MI,03,775584,81039,262246,549506,81817,21331,82900,125679,49353
MI-04,MI,04,775773,77141,231450,587965,61283,18705,68921,105412,46058
MI-05,MI,05,773100,70475,191196,662204,29852,5524,41247,80501,35820
MI-06,MI,06,768542,104396,358234,534645,73790,78127,40517,137878,89333
MI-07,MI,07,774416,85613,248431,626447,42409,25597,44668,118860,53747
MI-08,MI,08,771773,67075,159515,573072,114795,8275,42457,84388,35761
MI-09,MI,09,775555,90612,271678,687660,19249,9703,30397,100069,45967
MI-10,MI,10,769867,80437,235404,557255,101905,49692,24021,102851,48652
MI-11,MI,11,773635,103966,329195,524844,100094,66929,42305,158783,87965
MI-12,MI,12,767098,63867,172576,353915,336808,13209,25292,83423,42193
MI-13,MI,13,766535,56550,145204,288778,343303,20708,79283,69274,32366
MN-01,MN,01,713841,81999,244549,590122,26705,20133,52502,97437,36462
MN-02,MN,02,720793,112862,375151,544990,43945,37965,55988,140053,49137
MN-03,MN,03,707165,119088,427542,501909,67045,60565,37389,162406,66812
MN-04,MN,04,707245,94325,340797,446635,73176,94062,52697,138616,59007
MN-05,MN,05,707014,87779,353114,429729,120349,38402,74101,154356,63858
MN-06,MN,06,724709,107357,341788,609417,33945,21654,27042,115005,38684
MN-07,MN,07,713924,74041,221323,629936,10393,7037,38618,84967,25614
MN-08,MN,08,719026,77165,250737,630978,8727,7503,15271,91906,34224
MO-01,MO,01,760595,64987,206601,321638,344568,22236,33801,108085,60508
MO-02,MO,02,762932,103282,326397,636971,22526,35401,23688,145221,74655
MO-03,MO,03,778064,90047,265099,652675,42144,20040,29322,122761,56071
MO-04,MO,04,774118,77498,243874,627361,53362,10812,44421,109985,48714
MO-05,MO,05,771108,64013,174861,525036,134966,8054,66410,78846,32657
MO-06,MO,06,771739,77159,213684,639208,38613,12752,46674,100363,42110
MO-07,MO,07,777900,64106,197039,658523,13619,10933,48783,91177,36292
MO-08,MO,08,771725,60358,169089,676170,30790,6232,18826,68259,29522
MS-01,MS,01,743268,64067,180351,476832,208214,6589,29121,72081,33185
MS-02,MS,02,727520,46549,118705,227758,464583,3527,16319,61893,30360
MS-03,MS,03,736474,62753,174543,433204,249961,8058,20154,81038,37401
MS-04,MS,04,744176,61088,178098,498397,165348,10298,40532,75121,33018
MT-01,MT,01,556619,72673,438949,476709,2110,5415,23762,95440,34454
MT-02,MT,02,548453,71304,281957,452497,3133,3529,24757,80492,26386
NC-01,NC,01,748159,62174,200257,426209,237242,7044,44468,81398,33807
NC-02,NC,02,752506,96828,417060,405718,175735,39203,99238,167002,78778
NC-03,NC,03,751662,59894,175809,403164,205999,9796,95592,72379,29406
NC-04,NC,04,756660,105116,440881,406108,147230,80119,85454,159002,96840
NC-05,NC,05,748713,61734,211161,516760,127451,15350,60452,86361,37977
NC-06,NC,06,757252,71401,229451,471915,141148,26405,86365,99718,37928
NC-07,NC,07,763298,70998,271500,496267,140020,9526,66122,111011,45592
NC-08,NC,08,755722,90364,311052,458179,126300,28500,71674,112361,45369
NC-09,NC,09,756462,67539,219229,442376,158653,13476,97879,94498,36454
NC-10,NC,10,757997,73795,262120,504730,118498,18610,87037,107526,39597
NC-11,NC,11,751734,64533,305838,628126,25276,7018,58660,117980,53248
NC-12,NC,12,754580,80865,373061,268353,280224,39172,135661,146392,59390
NC-13,NC,13,772409,83696,275194,483542,144342,8167,103364,107575,38575
NC-14,NC,14,757187,81514,295652,507838,119191,28335,66784,119507,48458
ND-01,ND,01,779361,75949,241100,643154,24712,12004,34963,115348,35299
NE-01,NE,01,656048,82383,246659,513156,20178,17716,74253,97843,38502
NE-02,NE,02,657826,91543,264861,454776,61366,26056,85473,114848,46849
NE-03,NE,03,652052,68618,172412,530526,9191,4974,82500,73691,23801
NH-01,NH,01,694232,102929,402692,606572,10016,17909,32212,127268,59962
NH-02,NH,02,693602,100798,346670,608212,9198,17821,30546,116233,60283
NJ-01,NJ,01,773639,95826,262615,463413,118588,38992,118766,118875,48984
NJ-02,NJ,02,780334,88066,306341,499347,83812,28555,136367,108308,43970
NJ-03,NJ,03,779109,124636,412312,492648,94611,62503,94422,156264,73140
NJ-04,NJ,04,780270,103463,490414,624896,25849,19489,86088,132973,57383
NJ-05,NJ,05,773239,142787,594226,453055,41553,122550,127685,177827,83456
NJ-06,NJ,06,773831,109011,458028,333229,83981,137514,187047,133253,68723
NJ-07,NJ,07,776714,149296,546221,541128,39704,64435,100764,175561,90694
NJ-08,NJ,08,758383,91318,523144,191522,60619,84308,389868,128116,67352
NJ-09,NJ,09,763369,92541,456379,284751,63200,67437,325549,112834,47087
NJ-10,NJ,10,765966,79800,405074,147509,365658,48931,164248,106114,45509
NJ-11,NJ,11,771729,150029,616791,475240,43288,89303,131037,177263,96651
NJ-12,NJ,12,770431,123847,462326,306604,118028,146950,171127,139247,85530
NM-01,NM,01,707507,75151,289655,321677,17281,18619,293527,107242,62433
NM-02,NM,02,706885,59891,190643,207046,12861,7521,425525,65413,33949
NM-03,NM,03,700377,62964,240006,243759,8240,7585,299269,68080,42508
NV-01,NV,01,763995,72937,364815,309302,67100,60014,277231,86842,32286
NV-02,NV,02,783723,88889,468513,495336,15034,32005,185604,99297,42371
NV-03,NV,03,796443,87187,444058,343753,79816,133668,174825,130872,45830
NV-04,NV,04,796839,74645,352304,295016,122327,42409,279398,73031,28649
NY-01,NY,01,775319,138209,648270,558980,33337,39481,115731,132389,85447
NY-02,NY,02,700616,130303,505200,427796,58258,23143,167653,96608,60333
NY-03,NY,03,771639,147297,826050,422956,24651,177383,115563,156470,91972
NY-04,NY,04,772624,140544,636386,384107,132193,55616,168768,131567,74841
NY-05,NY,05,791042,89343,652316,108940,319934,121285,161280,95572,46378
NY-06,NY,06,732698,80287,713026,184710,30768,297708,191832,124686,58767
NY-07,NY,07,750833,91419,932371,277299,77536,90491,270533,145355,62284
NY-08,NY,08,765805,72129,878452,212435,326019,62268,122192,118964,60771
NY-09,NY,09,750729,76887,951023,244421,310565,62009,85411,117565,61321
NY-10,NY,10,731628,124314,1291195,369296,42025,143797,141382,180396,97311
NY-11,NY,11,754180,93190,790959,395388,49225,145087,140624,118225,58766
NY-12,NY,12,718380,154574,1272203,475134,32956,93531,81831,221999,148074
NY-13,NY,13,785058,57675,736301,125407,185796,40808,404492,112028,62340
NY-14,NY,14,724332,71146,698679,131706,101142,82764,383088,91965,41098
NY-15,NY,15,752508,52675,511064,69985,245390,21885,389742,68891,30819
NY-16,NY,16,774366,123946,643423,310035,157361,47908,225586,130204,89400
NY-17,NY,17,774596,133450,588749,497429,57202,37051,157051,133031,85430
NY-18,NY,18,781660,96117,362950,497783,76182,22465,146579,102218,65470
NY-19,NY,19,769760,73935,222205,624857,29032,26774,54057,97594,63045
NY-20,NY,20,779060,89881,270304,572718,65767,40879,55798,121191,75465
NY-21,NY,21,773050,70973,175689,688640,16545,6987,28187,79805,46452
NY-22,NY,22,768863,76342,180967,594866,61624,29035,43749,100537,60705
NY-23,NY,23,772060,76200,183613,691917,15600,7604,27468,91719,58093
NY-24,NY,24,773421,72650,166540,684883,18037,6555,32227,80376,46207
NY-25,NY,25,771641,82002,203731,531263,104414,28681,74109,123461,73304
NY-26,NY,26,773197,68726,198962,516081,122518,42339,58542,105181,60997
OH-01,OH,01,789946,88123,283217,556646,136427,29682,32366,131524,66121
OH-02,OH,02,784176,65891,179996,724631,14433,5899,12245,73684,35304
OH-03,OH,03,785572,81381,291330,427605,219748,41056,51922,141018,63576
OH-04,OH,04,790420,75981,196696,685572,37832,10213,23108,79771,35332
OH-05,OH,05,786779,71464,183123,652467,34029,8741,61029,82808,38410
OH-06,OH,06,783142,63015,156229,680622,46403,3714,25598,71776,30084
OH-07,OH,07,782062,89667,248023,673175,25370,24053,32373,130049,60007
OH-08,OH,08,783366,85566,232749,574567,105791,26510,38801,116126,50866
OH-09,OH,09,782701,73238,170854,593508,90760,9823,56212,92334,40574
OH-10,OH,10,786021,76126,186248,569667,125695,17083,31110,98399,54025
OH-11,OH,11,776234,60637,161070,323288,336133,19570,60284,96523,52221
OH-12,OH,12,794923,91617,263320,689421,33078,25390,16372,108410,47782
OH-13,OH,13,783291,76716,201064,592981,99064,25667,23341,116886,50957
OH-14,OH,14,784209,75591,199247,684205,35399,7293,26167,97501,41600
OH-15,OH,15,787203,82371,246008,582746,88229,31404,46632,108868,47143
OK-01,OK,01,799813,76644,217476,480080,67588,27154,112365,112772,40482
OK-02,OK,02,799862,55755,147229,500693,24311,7293,48026,71741,25732
OK-03,OK,03,797193,60562,152526,490730,38184,12056,164947,74804,27274
OK-04,OK,04,798702,70830,184118,528941,56865,19994,83288,91000,37710
OK-05,OK,05,799690,82019,233439,509478,87951,25848,82170,127920,49991
OR-01,OR,01,706382,104921,563259,463960,15853,65649,110512,140273,66417
OR-02,OR,02,706913,67168,339923,538849,4393,5901,106997,76096,31596
OR-03,OR,03,698231,89381,515805,455476,37406,49646,100501,130703,55036
OR-04,OR,04,707644,70461,393294,566225,6006,18376,64842,94401,45153
OR-05,OR,05,711706,95390,547435,564779,6571,21014,74641,124118,49558
OR-06,OR,06,707837,88730,451357,476321,7571,25181,147975,109310,41787
PA-01,PA,01,765054,118786,440952,610773,27616,45530,49255,144888,72824
PA-02,PA,02,751959,61723,232386,274979,177538,71531,192801,85956,38850
PA-03,PA,03,757265,66737,298842,238593,394509,45213,43439,117378,69719
PA-04,PA,04,768592,118090,400153,584596,61324,45006,47579,150114,80395
PA-05,PA,05,764646,100268,347590,448169,184867,50470,47975,121997,64120
PA-06,PA,06,771339,116452,394598,537004,37897,38010,128156,148260,75561
PA-07,PA,07,769217,85462,268854,525687,40794,23077,153819,106659,47862
PA-08,PA,08,765964,70363,195172,567628,45496,14818,108567,90333,43651
PA-09,PA,09,764462,70303,192935,671738,17230,6644,47232,78532,33908
PA-10,PA,10,772344,84689,233323,552544,76584,34656,76600,114778,50160
PA-11,PA,11,768261,86293,273367,629247,24996,15549,72470,100355,44261
PA-12,PA,12,761935,77627,218861,561944,112066,29882,22509,128326,64695
PA-13,PA,13,764752,69240,191213,689005,17152,5023,28823,74701,32350
PA-14,PA,14,759772,69318,180738,693246,22765,5695,11975,92328,41743
PA-15,PA,15,760446,66575,187374,696501,14609,12781,16861,77598,38371
PA-16,PA,16,763418,71066,189552,673842,30658,9347,21231,101150,44017
PA-17,PA,17,757051,94033,253938,629933,53438,23654,18441,149792,69992
RI-01,RI,01,545056,88162,402228,349963,32718,19876,105368,85817,40803
RI-02,RI,02,550315,95075,383311,406535,22504,17617,82135,86942,41613
SC-01,SC,01,747143,92545,428932,509162,132214,12775,61384,134739,62940
SC-02,SC,02,744002,76823,224964,450391,193609,16251,53281,109706,52038
SC-03,SC,03,740539,63674,208891,532641,125128,7195,45308,81192,36767
SC-04,SC,04,750226,74511,270190,485963,136474,18958,80645,113262,50432
SC-05,SC,05,745373,73353,242829,480612,176513,14250,43277,92305,45227
SC-06,SC,06,736357,56908,227665,305372,348548,11026,46419,88452,39044
SC-07,SC,07,749133,58809,205706,479562,195201,7790,38586,82179,34778
SD-01,SD,01,899194,72421,236800,721732,19457,12515,41281,128272,39055
TN-01,TN,01,775298,58241,200960,690046,16064,6495,38983,80494,32217
TN-02,TN,02,781766,75549,279226,653305,44196,12726,43613,110912,48331
TN-03,TN,03,778319,70923,250462,608152,76939,10648,48403,98346,42066
TN-04,TN,04,781089,73924,294573,509703,115565,20723,99917,102717,37854
TN-05,TN,05,770846,66487,248748,477268,210548,9383,44985,91591,37735
TN-06,TN,06,777250,70118,327895,596928,82222,13946,55027,115676,46074
TN-07,TN,07,780387,87564,368397,568204,106685,13848,57079,118290,50038
TN-08,TN,08,763676,81525,243305,454417,207277,18226,55846,104669,50064
TN-09,TN,09,777449,76911,292126,436402,240446,21502,52603,90863,41635
TX-01,TX,01,774696,65824,179364,463395,137751,8486,135350,77609,29306
TX-02,TX,02,789606,109280,319480,377052,94640,46267,239101,133115,54571
TX-03,TX,03,800885,110854,371222,437530,88839,83184,155720,141804,62916
TX-04,TX,04,798829,118041,443748,462403,69445,125288,103322,164071,84755
TX-05,TX,05,781896,80905,260427,366769,123843,23714,236119,88381,34270
TX-06,TX,06,781904,86456,286131,360663,98874,39229,253816,102193,40724
TX-07,TX,07,780591,93890,434487,222610,126087,130338,275407,142140,71306
TX-08,TX,08,794584,84388,275019,315337,133136,47050,267995,111156,39922
TX-09,TX,09,762720,66935,182525,185210,65832,11084,485679,45469,15056
TX-10,TX,10,776784,91601,420320,467462,68909,41947,166631,130076,60044
TX-11,TX,11,776760,89903,275342,360257,50027,28906,311622,107252,41082
TX-12,TX,12,778572,85582,304259,395424,74105,27550,254887,102960,41308
TX-13,TX,13,773618,69665,189372,451148,51691,19017,221475,86102,32047
TX-14,TX,14,778560,95244,265780,391311,128316,42156,189106,104127,42143
