name,id,state,planType,year,nDistricts,modified,filename
"CA 2020 Congressional",d6ccadfa-243e-4ecc-9bb2-716b3f82afee,CA,congress,2020,53,,"CA 2020 Congressional.csv"
"CA 2020 State House",c16e04b6-9e99-4be2-bbc7-b37713c0b4a6,CA,lower,2020,80,,"CA 2020 State House.csv"
"CA 2020 State Senate",4767f8bd-f938-4f8b-873a-5f52add3985d,CA,upper,2020,40,,"CA 2020 State Senate.csv"
"CA 2022 Congressional",fc9d2d06-7c7f-451c-92cb-122127a79c29,CA,congress,2022,52,2022-01-04,"CA 2022 Congressional.csv"
"CA 2022 State House",43cea5ab-ef0a-4946-b3e2-c3f2aaf73cf1,CA,lower,2022,80,,"CA 2022 State House.csv"
"CA 2022 State Senate",f0a4ed9d-205f-4122-abab-fa3c75b6b050,CA,upper,2022,40,2022-01-03,"CA 2022 State Senate.csv"
"CA 2026 Congressional",9ba47178-511a-4c42-889f-aa4eeda01df6,CA,congress,2026,52,2025-11-09,"CA 2026 Congressional.csv"
"CO 116th Congressional",8db12fcc-9d2d-4305-8766-505d5fe93d81,CO,congress,115,7,,"CO 116th Congressional.csv"
"CO 2018 Lower State House",23e50f87-b194-4dd7-89c9-c166ebd69eb2,CO,lower,2018,65,,"CO 2018 Lower State House.csv"
"CO 2018 Upper State House",d8bc1a66-0ecc-4cf1-8e35-eb5d615aad3c,CO,upper,2018,35,,"CO 2018 Upper State House.csv"
"CO 2020 Congressional",22b4dc91-5c29-4d11-a408-108feda65390,CO,congress,2020,7,,"CO 2020 Congressional.csv"
"CO 2020 State House",89ac698a-6544-401f-95ba-29d3f2451c7a,CO,lower,2020,65,,"CO 2020 State House.csv"
"CO 2020 State Senate",fc463936-d190-4975-b95c-18a59a899747,CO,upper,2020,35,,"CO 2020 State Senate.csv"
"CO 2022 Congressional",39f44408-23f7-439d-b7eb-923da58b63df,CO,congress,2022,8,2022-05-06,"CO 2022 Congressional.csv"
"CO 2022 State House",dee1f8ad-23c1-497b-859c-6d1a9293bbd5,CO,lower,2022,65,,"CO 2022 State House.csv"
"CO 2022 State Senate",9b5ec272-1fba-4a7a-ac6c-f2dcb4c6d0ae,CO,upper,2022,35,,"CO 2022 State Senate.csv"
"CT 116th Congressional",aba6596c-99e3-4af9-8c6f-b0d67b9efbd6,CT,congress,115,5,,"CT 116th Congressional.csv"
"CT 2018 Lower State House",5b10f7f3-017d-4ec8-8750-e1011badc02d,CT,lower,2018,151,,"CT 2018 Lower State House.csv"
"CT 2018 Upper State House",dfa5bc60-e914-4e81-a2d4-9aa6adc17950,CT,upper,2018,36,,"CT 2018 Upper State House.csv"
"CT 2020 Congressional",94bd0713-6e46-4041-9eca-75265455c49f,CT,congress,2020,5,,"CT 2020 Congressional.csv"
"CT 2020 State House",d667a31e-a2c1-45f7-ad27-73250e674679,CT,lower,2020,151,,"CT 2020 State House.csv"
"CT 2020 State Senate",458c5cf5-f54e-42b4-b8f5-0aa2e2de2721,CT,upper,2020,36,,"CT 2020 State Senate.csv"
"CT 2022 Congressional",707f203c-ce98-4de8-b150-a2605136e015,CT,congress,2022,5,2022-02-21,"CT 2022 Congressional.csv"
"CT 2022 State House",2e38109d-9987-46e3-9ff0-dd6c3caa59e8,CT,lower,2022,151,,"CT 2022 State House.csv"
"CT 2022 State Senate",fc9e83c0-59e2-4dea-b0cf-d2fff1c0b8a3,CT,upper,2022,36,,"CT 2022 State Senate.csv"
"DE 2018 Lower State House",26b3aa65-eb6f-4af9-a5f7-039528942d20,DE,lower,2018,41,,"DE 2018 Lower State House.csv"
"DE 2018 Upper State House",c1407133-974b-4f42-aac5-0507a57c74b5,DE,upper,2018,21,2019-11-12,"DE 2018 Upper State House.csv"
"DE 2020 State House",6c396af4-564d-477b-841a-9c0b055f74d4,DE,lower,2020,41,2021-11-09,"DE 2020 State House.csv"
"DE 2020 State Senate",c4d257ff-1d98-4901-b720-d50254dbb792,DE,upper,2020,21,2021-11-09,"DE 2020 State Senate.csv"
"DE 2022 State House",f3acc27c-28b6-4e3a-a3f3-f5027ab59466,DE,lower,2022,41,,"DE 2022 State House.csv"
"DE 2022 State Senate",735ff37c-3bd7-4a57-8961-b3ebf6c079f0,DE,upper,2022,21,2022-12-18,"DE 2022 State Senate.csv"
"FL 116th Congressional",7d61faa0-1353-4a5c-967f-1cec59cc8f55,FL,congress,115,27,2021-05-03,"FL 116th Congressional.csv"
"FL 2018 Lower State House",0cdef6da-77c9-4d74-bfed-7905acdd875e,FL,lower,2018,120,2021-05-04,"FL 2018 Lower State House.csv"
"FL 2018 Upper State House",82698093-33d3-46d2-ab17-8c83d84a626a,FL,upper,2018,40,2019-11-19,"FL 2018 Upper State House.csv"
"FL 2020 Congressional",96dd2bb5-d35c-4bbe-a28e-f798072e0983,FL,congress,2020,27,2022-06-11,"FL 2020 Congressional.csv"
"FL 2020 State House",1316ea9d-fedd-405e-bcdc-e2b234e2c48f,FL,lower,2020,120,2021-11-09,"FL 2020 State House.csv"
"FL 2020 State Senate",07ea1b6e-0d01-4f07-b616-975c846a0800,FL,upper,2020,40,2021-11-09,"FL 2020 State Senate.csv"
"FL 2022 Congressional",3a6791b9-a186-4691-a95c-5d51dbb3be1c,FL,congress,2022,28,2022-04-26,"FL 2022 Congressional.csv"
"FL 2022 State House",488c9284-a2c4-4846-9d7d-08af9d98a6c5,FL,lower,2022,120,2022-09-02,"FL 2022 State House.csv"
"FL 2022 State Senate",91f2ce50-b3c1-4d74-87f2-d3a9fa078129,FL,upper,2022,40,,"FL 2022 State Senate.csv"
"FL 2026 Congressional",c0b3392c-a550-4f26-8afe-b96cd5eff267,FL,congress,2026,28,2026-05-18,"FL 2026 Congressional.csv"
"GA 116th Congressional",fddc521a-0e08-4a52-a17c-12f9f81da1b7,GA,congress,115,14,,"GA 116th Congressional.csv"
"GA 2018 Lower State House",e0a2a894-9fe5-452b-82f3-64869e2f2003,GA,lower,2018,180,2021-05-02,"GA 2018 Lower State House.csv"
"GA 2018 Upper State House",2ded4fc6-7347-4065-8207-fb6392af706c,GA,upper,2018,56,2020-02-28,"GA 2018 Upper State House.csv"
"GA 2020 Congressional",434b0674-aa0b-4c34-837e-d46d5af6e8d6,GA,congress,2020,14,,"GA 2020 Congressional.csv"
"GA 2020 State House",372f005d-224d-44cb-9a1a-90724467a7be,GA,lower,2020,180,2021-11-09,"GA 2020 State House.csv"
"GA 2020 State Senate",4ecaf2bf-0b61-4a17-b12e-3310e276ab61,GA,upper,2020,56,2021-11-09,"GA 2020 State Senate.csv"
"GA 2022 Congressional",3a370cc7-f820-4af4-8fca-a27ec52502b7,GA,congress,2022,14,2022-01-06,"GA 2022 Congressional.csv"
"GA 2022 State House",041f73c7-8f4f-48c5-a5ff-cb059e692827,GA,lower,2022,180,2022-01-06,"GA 2022 State House.csv"
"GA 2022 State Senate",f1249844-4b84-45e6-9ca6-e13f6ddddb0d,GA,upper,2022,56,2022-01-06,"GA 2022 State Senate.csv"
"GA 2024 Congressional",e2864750-49da-49dd-b0a4-f5930c339af1,GA,congress,2024,14,2023-12-28,"GA 2024 Congressional.csv"
"GA 2024 State House",b14b9be1-e73b-4f26-b34e-26a788ad9931,GA,lower,2024,180,,"GA 2024 State House.csv"
"GA 2024 State Senate",2bab4178-725d-4c55-961a-de0a6f5ffcce,GA,upper,2024,56,2023-12-28,"GA 2024 State Senate.csv"
"HI 116th Congressional",1b68a414-7d71-4db5-b158-878a3cef3a80,HI,congress,115,2,2021-05-02,"HI 116th Congressional.csv"
"HI 2018 Lower State House",d5b23ed3-c772-48f4-849e-8080ed43c43a,HI,lower,2018,51,2019-11-05,"HI 2018 Lower State House.csv"
"HI 2018 Upper State House",1187472e-e881-4918-a0ac-884f8a4ab829,HI,upper,2018,25,2020-02-25,"HI 2018 Upper State House.csv"
"HI 2020 Congressional",f0155598-3679-42aa-9ff9-17f7a3b6ad82,HI,congress,2020,2,2021-11-09,"HI 2020 Congressional.csv"
"HI 2020 State House",783f9996-34b4-443e-b183-3f555dbc43ac,HI,lower,2020,51,2021-11-09,"HI 2020 State House.csv"
"HI 2020 State Senate",affa089a-a56a-435d-9163-6d1a9ad8eeec,HI,upper,2020,25,,"HI 2020 State Senate.csv"
"HI 2022 Congressional",021708d3-fda3-45b0-ae4b-9362a4f23fe9,HI,congress,2022,2,2022-02-10,"HI 2022 Congressional.csv"
"HI 2022 State House",6e4f9c2e-6a11-4848-adab-22f3113bef79,HI,lower,2022,51,,"HI 2022 State House.csv"
"HI 2022 State Senate",c4d580e8-5bfd-4656-820d-b58c7ccfe92c,HI,upper,2022,25,2022-02-10,"HI 2022 State Senate.csv"
"IA 116th Congressional",e43359c8-d3cc-4606-ba54-b84e7e7f2e6f,IA,congress,115,4,2021-05-02,"IA 116th Congressional.csv"
"IA 2018 Lower State House",b7cdc251-1cff-4857-9496-2de7b0359d2c,IA,lower,2018,100,2019-11-12,"IA 2018 Lower State House.csv"
"IA 2018 Upper State House",9b7066c0-54eb-4d3d-b2ca-f8699a15dc2e,IA,upper,2018,50,,"IA 2018 Upper State House.csv"
"IA 2020 Congressional",2d801234-32b3-4a96-a64c-82e27c460716,IA,congress,2020,4,2022-06-12,"IA 2020 Congressional.csv"
"IA 2020 State House",208b9eab-83c0-4837-883d-a2541712b676,IA,lower,2020,100,2021-11-09,"IA 2020 State House.csv"
"IA 2020 State Senate",29dd3b02-60bc-4602-a250-9a9710fdd9e2,IA,upper,2020,50,2021-11-09,"IA 2020 State Senate.csv"
"IA 2022 Congressional",628d5e9a-bd35-4248-aa8c-73af095e0135,IA,congress,2022,4,2021-11-15,"IA 2022 Congressional.csv"
"IA 2022 State House",3bba1647-f4a4-4374-8021-a8e4aeb6f15a,IA,lower,2022,100,2021-11-15,"IA 2022 State House.csv"
"IA 2022 State Senate",0e81cf3d-648d-4851-b14b-0ee893f92610,IA,upper,2022,50,2022-02-03,"IA 2022 State Senate.csv"
"ID 116th Congressional",e196e984-cd84-45cb-abc1-d82fbad0445b,ID,congress,115,2,2021-05-02,"ID 116th Congressional.csv"
"ID 2018 Lower State House",82adcf76-7859-4f78-a9de-a6ad500ae91c,ID,lower,2018,35,2019-11-12,"ID 2018 Lower State House.csv"
"ID 2020 Congressional",14e046b2-98a2-4b59-bfe3-6c8afee85f43,ID,congress,2020,2,2021-11-09,"ID 2020 Congressional.csv"
"ID 2020 State Legislatures",b2528343-8aad-4a29-9978-22ab901d6508,ID,upper,2020,35,2021-11-09,"ID 2020 State Legislatures.csv"
"ID 2022 Congressional",ebc8cec8-b919-4a66-9b42-9cf5bf7e02a1,ID,congress,2022,2,2021-11-25,"ID 2022 Congressional.csv"
"ID 2022 State Legislature",a56da372-79a4-48e7-9fd5-b689d0ccb602,ID,upper,2022,35,2021-11-22,"ID 2022 State Legislature.csv"
"IL 116th Congressional",032b7ec2-cdf0-4d3e-a02b-77c2d28a2008,IL,congress,115,18,2021-05-02,"IL 116th Congressional.csv"
"IL 2018 Lower State House",8b9ccb4c-d702-433d-9cbd-1e898d521eab,IL,lower,2018,118,2020-01-28,"IL 2018 Lower State House.csv"
"IL 2018 Upper State House",f29396b2-e7ee-44b5-892c-46043fd36017,IL,upper,2018,59,2021-05-03,"IL 2018 Upper State House.csv"
"IL 2020 Congressional",1f28107b-3981-46fc-9be5-6c3be848683d,IL,congress,2020,18,2022-06-12,"IL 2020 Congressional.csv"
"IL 2020 State House",8baed7b3-8702-4265-9ab5-0ae0ec9cb187,IL,lower,2020,118,2021-11-09,"IL 2020 State House.csv"
"IL 2020 State Senate",e7eface3-406c-42e0-b7fc-7e0d6471d975,IL,upper,2020,59,,"IL 2020 State Senate.csv"
"IL 2022 Congressional",8a4586ad-4c58-489b-828c-4477cfd0ce88,IL,congress,2022,17,2021-11-30,"IL 2022 Congressional.csv"
"IL 2022 State House",19bc2a13-2ad1-455a-a7cb-4182ff7c6f6f,IL,lower,2022,118,,"IL 2022 State House.csv"
"IL 2022 State Senate",8cd5c7ba-6e69-42a7-89e1-3806a2a05e64,IL,upper,2022,59,,"IL 2022 State Senate.csv"
"IN 116th Congressional",acf2b347-b496-4e52-9403-cab828d4fab3,IN,congress,115,9,,"IN 116th Congressional.csv"
"IN 2018 Lower State House",8935736d-bd0c-4f89-927c-4843e156d8ec,IN,lower,2018,100,,"IN 2018 Lower State House.csv"
"IN 2018 Upper State House",37bc63df-0daa-40c3-8ad9-812afb2fcc6c,IN,upper,2018,50,,"IN 2018 Upper State House.csv"
"IN 2020 Congressional",930472f1-d096-42c0-9e38-10f463ecdb89,IN,congress,2020,9,,"IN 2020 Congressional.csv"
"IN 2020 State House",4885f23b-bb9d-45ca-81ea-f56c3d7a0047,IN,lower,2020,100,,"IN 2020 State House.csv"
"IN 2020 State Senate",dd9c6c14-2199-4e23-933f-14a1f2bb38a6,IN,upper,2020,50,,"IN 2020 State Senate.csv"
"IN 2022 Congressional",c08c9df0-9756-4c5a-a7e7-01ff03bbb170,IN,congress,2022,9,2021-11-15,"IN 2022 Congressional.csv"
"IN 2022 State House",db849782-86e9-4293-a492-3e17d7cfceab,IN,lower,2022,100,2021-11-15,"IN 2022 State House.csv"
"IN 2022 State Senate",f2d2e4a3-f50d-4f77-bc5d-027ba0e2717e,IN,upper,2022,50,,"IN 2022 State Senate.csv"
"KS 116th Congressional",e3fd663e-4c82-4d10-b11c-5d1f0c775b0b,KS,congress,115,4,,"KS 116th Congressional.csv"
"KS 2018 Lower State House",eb9f1289-f1cb-49c5-bb8d-a87fec0d150c,KS,lower,2018,125,,"KS 2018 Lower State House.csv"
"KS 2018 Upper State House",7db8407a-01bb-43ac-8a82-925fd859c592,KS,upper,2018,40,,"KS 2018 Upper State House.csv"
"KS 2020 Congressional",d5273801-39a6-4ad6-89fe-c0d1d7460680,KS,congress,2020,4,,"KS 2020 Congressional.csv"
"KS 2020 State House",bfa7a21c-4216-4d1e-b00e-350cb9788623,KS,lower,2020,125,,"KS 2020 State House.csv"
"KS 2020 State Senate",8de87032-ce70-47b8-8ba0-c3f0846eedec,KS,upper,2020,40,,"KS 2020 State Senate.csv"
"KS 2022 Congressional",2ea884cd-5687-48b4-879a-4f780d3de1cf,KS,congress,2022,4,2022-02-21,"KS 2022 Congressional.csv"
"KS 2022 State House",781f29f1-259e-4235-8b14-85137bc38893,KS,lower,2022,125,,"KS 2022 State House.csv"
"KS 2022 State Senate",2bc2f97f-a285-4596-9fcd-6108056b229f,KS,upper,2022,40,,"KS 2022 State Senate.csv"
"KY 116th Congressional",f1f47fec-7014-4008-a104-8b79b35fda3d,KY,congress,115,6,,"KY 116th Congressional.csv"
"KY 2018 Lower State House",349fa36e-d601-4dc1-8215-dda34470d5fc,KY,lower,2018,100,,"KY 2018 Lower State House.csv"
"KY 2018 Upper State House",85adc6ee-b822-4e60-b2f6-bebaf9e2e53a,KY,upper,2018,38,,"KY 2018 Upper State House.csv"
"KY 2020 Congressional",4f9930e4-072e-452d-9b5f-12cab0427ece,KY,congress,2020,6,,"KY 2020 Congressional.csv"
"KY 2020 State House",32bc1182-d63b-49d4-b768-b83e75257931,KY,lower,2020,100,,"KY 2020 State House.csv"
"KY 2020 State Senate",de0f45b2-4654-468b-83a5-eccb63e71bb4,KY,upper,2020,38,,"KY 2020 State Senate.csv"
"KY 2022 Congressional",0ec1616e-7ed6-4f84-b20d-dcc51221b2bf,KY,congress,2022,6,2022-02-03,"KY 2022 Congressional.csv"
"KY 2022 State House",8eed4db7-46cd-4e09-a179-c0a7e821a963,KY,lower,2022,100,,"KY 2022 State House.csv"
"KY 2022 State Senate",8ef6d39b-ae52-4587-8ed1-88b781dd4300,KY,upper,2022,38,,"KY 2022 State Senate.csv"
"LA 116th Congressional",e1c9b1d0-22a4-4330-b615-27dab9740b02,LA,congress,115,6,,"LA 116th Congressional.csv"
"LA 2018 Lower State House",5f3692f2-6b4b-473b-b23b-9146023f1039,LA,lower,2018,105,,"LA 2018 Lower State House.csv"
"LA 2018 Upper State House",9d69e362-cb04-4054-98d2-3b63f7eb50b3,LA,upper,2018,39,,"LA 2018 Upper State House.csv"
"LA 2020 Congressional",ce81ca33-09da-40a2-8803-35e9cf0a6469,LA,congress,2020,6,2021-12-23,"LA 2020 Congressional.csv"
"LA 2020 State House",10a698a3-8b55-46b4-ab7d-6bd9c6fdf724,LA,lower,2020,105,,"LA 2020 State House.csv"
"LA 2020 State Senate",9515fb0b-c59e-4240-a495-6a6f8abcb9f5,LA,upper,2020,39,,"LA 2020 State Senate.csv"
"LA 2022 Congressional",42873bd9-ce68-4ee1-878e-be420dbf0ee3,LA,congress,2022,6,2022-03-31,"LA 2022 Congressional.csv"
"LA 2022 State House",d63b737c-a8b3-46e9-8855-aa20a728c2b5,LA,lower,2022,105,,"LA 2022 State House.csv"
"LA 2022 State Senate",12eedba5-68de-4ab4-a3bb-7f59d9268041,LA,upper,2022,39,,"LA 2022 State Senate.csv"
"LA 2024 Congressional",2ecbe5cd-461e-41e9-a954-2368bbe8b0a2,LA,congress,2024,6,2024-02-27,"LA 2024 Congressional.csv"
"MA 116th Congressional",eafbf1a0-c836-4908-a607-aa6b5c63b942,MA,congress,115,9,,"MA 116th Congressional.csv"
"MA 2018 Lower State House",9fb9b073-c5d3-4b93-9c93-c02212a023d4,MA,lower,2018,160,,"MA 2018 Lower State House.csv"
"MA 2018 Upper State House",4e245ae5-a6a0-4cbf-ab40-58a36bc387d0,MA,upper,2018,40,,"MA 2018 Upper State House.csv"
"MA 2020 Congressional",63f8c635-75ee-4a08-a798-cec3342feb49,MA,congress,2020,9,,"MA 2020 Congressional.csv"
"MA 2020 State House",afbc6011-bf8b-4303-adc3-e322b216e025,MA,lower,2020,160,,"MA 2020 State House.csv"
"MA 2020 State Senate",e6ebd737-2229-495e-9178-1fc902c383a3,MA,upper,2020,40,,"MA 2020 State Senate.csv"
"MA 2022 Congressional",791f8174-e00d-4baf-9b0a-206a298eb28b,MA,congress,2022,9,,"MA 2022 Congressional.csv"
"MA 2022 State House",f4bfa2f3-1e73-4e0b-a237-cc2aa2e611b8,MA,lower,2022,160,,"MA 2022 State House.csv"
"MA 2022 State Senate",b32decd8-3ed9-4ab2-876b-c92cfa798e33,MA,upper,2022,40,,"MA 2022 State Senate.csv"
"MD 116th Congressional",52a6108a-4b23-4e22-a4a4-c19837c0bca2,MD,congress,115,8,2021-05-02,"MD 116th Congressional.csv"
"MD 2018 Lower State House",af64ba50-9cec-40d6-9cf2-f934074d37be,MD,lower,2018,67,,"MD 2018 Lower State House.csv"
"MD 2018 Upper State House",05f88f2e-eb5a-4115-afd3-97566ecd07c7,MD,upper,2018,47,,"MD 2018 Upper State House.csv"
"MD 2020 Congressional",c35703c2-6cd0-4f1d-9fae-5a0826507cfb,MD,congress,2020,8,,"MD 2020 Congressional.csv"
"MD 2020 State House",201a40ac-bc4d-4676-9cf3-95db3cb599b1,MD,lower,2020,67,,"MD 2020 State House.csv"
"MD 2020 State Senate",c3244696-9641-4055-88d4-3a49b63bd99c,MD,upper,2020,47,,"MD 2020 State Senate.csv"
"MD 2022 Congressional",a365ecbd-db5f-4c84-a77f-90310c6a6c1a,MD,congress,2022,8,2022-04-06,"MD 2022 Congressional.csv"
"MD 2022 State House",4cf1f21b-2347-457a-bbca-f299c7a8cb2b,MD,lower,2022,71,2022-02-03,"MD 2022 State House.csv"
"MD 2022 State Senate",92ad6e43-2394-4957-b30a-828ca424a034,MD,upper,2022,47,,"MD 2022 State Senate.csv"
"ME 116th Congressional",9e5d4508-5a2e-4bc2-a0bc-ef716a9abf79,ME,congress,115,2,,"ME 116th Congressional.csv"
"ME 2018 Lower State House",bfa42ae5-4f24-42d7-88f2-1aaff619b408,ME,lower,2018,151,,"ME 2018 Lower State House.csv"
"ME 2018 Upper State House",6833ceac-aca7-480b-aa64-b6bbeba6f9a7,ME,upper,2018,35,,"ME 2018 Upper State House.csv"
"ME 2020 Congressional",9fd5b08c-1830-4d60-a0c8-387c764ecfb0,ME,congress,2020,2,,"ME 2020 Congressional.csv"
"ME 2020 State House",933cef6d-489a-4273-88e5-c0552e115a98,ME,lower,2020,151,,"ME 2020 State House.csv"
"ME 2020 State Senate",87060e31-2035-4bb2-a1fe-213b6e3fb0f3,ME,upper,2020,35,,"ME 2020 State Senate.csv"
"ME 2022 Congressional",91042741-7e4e-423f-8a96-313236f71ac1,ME,congress,2022,2,2022-12-17,"ME 2022 Congressional.csv"
"ME 2022 State House",0ceefdda-ed1c-45e2-9f4a-e887394b5985,ME,lower,2022,151,,"ME 2022 State House.csv"
"ME 2022 State Senate",9916fa38-8d7a-498b-beb7-af2e530453c7,ME,upper,2022,35,,"ME 2022 State Senate.csv"
"MI 116th Congressional",93fb7816-4a76-4b4b-a90f-5504f3f1d96e,MI,congress,115,14,,"MI 116th Congressional.csv"
"MI 2018 Lower State House",321679fb-69a2-4489-a195-78a0f3e40bec,MI,lower,2018,110,,"MI 2018 Lower State House.csv"
"MI 2018 Upper State House",bfd73815-53fa-4840-84f3-2e8d19cac4a5,MI,upper,2018,38,,"MI 2018 Upper State House.csv"
"MI 2020 Congressional",5a43a57b-ba16-4a6d-ad53-1fcfcd8a253b,MI,congress,2020,14,,"MI 2020 Congressional.csv"
"MI 2020 State House",9c633615-dc5f-4b6f-87ce-fe72ca5852c6,MI,lower,2020,110,,"MI 2020 State House.csv"
"MI 2020 State Senate",e80b756a-c0b6-4e22-9973-1de7a9d806a5,MI,upper,2020,38,,"MI 2020 State Senate.csv"
"MI 2022 Congressional",287ace43-1a66-4686-b596-949f578971a8,MI,congress,2022,13,2022-01-06,"MI 2022 Congressional.csv"
"MI 2022 State House",8f2d562d-9d7f-4d3b-992e-5c52debd8f08,MI,lower,2022,110,,"MI 2022 State House.csv"
"MI 2022 State Senate",7563fcf7-de01-411a-aa51-c56cf76340b0,MI,upper,2022,38,2022-01-06,"MI 2022 State Senate.csv"
"MI 2024 State House",e24c9c82-a8de-4706-9ebb-91181592c37f,MI,lower,2024,110,,"MI 2024 State House.csv"
"MI 2026 State Senate",4cd32ab3-57e5-4bd7-9825-ed19122d14c8,MI,upper,2026,38,,"MI 2026 State Senate.csv"
"MN 116th Congressional",aff51588-afa7-4f38-9d68-9a9a6775a2a4,MN,congress,115,8,,"MN 116th Congressional.csv"
"MN 2018 Lower State House",1665fa02-f790-43b9-a2cc-ff9566604e0f,MN,lower,2018,134,,"MN 2018 Lower State House.csv"
"MN 2018 Upper State House",c89fa7c8-e41e-4c0a-bcb3-357acd000226,MN,upper,2018,67,,"MN 2018 Upper State House.csv"
"MN 2020 Congressional",f27e6b94-e78f-4726-bf94-4a5d9911d535,MN,congress,2020,8,,"MN 2020 Congressional.csv"
"MN 2020 State House",cb969948-ce7a-460b-b391-d6bb2c5a2133,MN,lower,2020,134,,"MN 2020 State House.csv"
"MN 2020 State Senate",dcd08710-5719-4426-9a04-a57819e006e4,MN,upper,2020,67,,"MN 2020 State Senate.csv"
